Diện tích (m2),Chiều ngang (m),Chiều dài (m),Số phòng ngủ,Số phòng vệ sinh,Số tầng,Giá_per_m2,Tổng_phòng,Aspect_ratio,Diện_tích_per_phòng,"Loại hình_Nhà mặt phố, mặt tiền","Loại hình_Nhà ngõ, hẻm",Loại hình_Nhà phố liền kề,Giấy tờ pháp lý_Không có sổ,Giấy tờ pháp lý_Sổ chung / công chứng vi bằng,Giấy tờ pháp lý_Đang chờ sổ,Giấy tờ pháp lý_Đã có sổ,Hướng_Không xác định,Hướng_Nam,Hướng_Tây,Hướng_Tây Bắc,Hướng_Tây Nam,Hướng_Đông,Hướng_Đông Bắc,Hướng_Đông Nam,Tình trạng nội thất_Hoàn thiện cơ bản,Tình trạng nội thất_Không xác định,Tình trạng nội thất_Nội thất cao cấp,Tình trạng nội thất_Nội thất đầy đủ,Phường/Xã_encoded,Thành phố_encoded,Giá bán_numeric_log,Diện tích (m2)_log,Giá_per_m2_log
64.0,4.0,16.0,5.0,5.0,3.0,112500000.0,10.0,0.25,6.4,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,5598308686.544653,6464509836.25199,22.69734686310731,4.174387269895637,18.538463788497637
80.0,4.0,20.0,7.0,6.0,6.0,187500000.0,13.0,0.2,6.153846153846154,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,7536670981.681058,6478016096.952897,23.431316038115288,4.394449154672439,19.049289408708074
45.0,4.0,13.0,2.0,2.0,2.0,78444444.44444445,4.0,0.3076923076923077,11.25,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,5447833156.994393,6464509836.25199,21.984563708174903,3.828641396489095,18.17790123086917
95.0,6.0,18.0,4.0,3.0,2.0,184210526.31578946,7.0,0.3333333333333333,13.571428571428571,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,6066284518.041116,6444340613.27308,23.585466717933024,4.564348191467836,19.03158983170391
41.67,4.0,13.0,2.0,3.0,2.0,143748500.1199904,5.0,0.3076923076923077,8.334,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,7605424342.233483,6471881569.217854,22.513357249240713,3.7534960971999087,18.783575810596002
32.0,3.2,10.0,2.0,2.0,2.0,128124999.99999999,4.0,0.32,8.0,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,6512066812.187359,6473607613.312442,22.134252810900577,3.4965075614664802,18.668516915661826
45.0,4.0,13.0,3.0,4.0,5.0,308888888.8888889,7.0,0.3076923076923077,6.428571428571429,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,7317287510.079186,9169252500.671946,23.355154677155,3.828641396489095,19.548492190550146
54.0,7.0,9.0,2.0,1.0,2.0,83333333.33333333,3.0,0.7777777777777778,18.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,7060917655.531624,6478016096.952897,22.227343233944907,4.007333185232471,18.23835919915841
110.0,4.5,17.0,8.0,3.0,3.0,118181818.18181819,11.0,0.2647058823529412,10.0,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,6375159500.399869,6444340613.27308,23.28821519448487,4.709530201312334,18.587734837077072
40.0,4.0,10.0,2.0,3.0,2.0,96250000.0,5.0,0.4,8.0,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,5684828500.269679,6444340613.27308,22.071338985505843,3.713572066704308,18.38245954152178
129.0,6.3,21.0,2.0,1.0,2.0,30232558.139534883,3.0,0.3,43.0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,5518558663.028649,6471881569.217854,22.08424239033842,4.867534450455582,17.22443001879726
50.0,4.5,17.0,3.0,2.0,3.0,45000000.0,5.0,0.2647058823529412,10.0,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,4668580263.756253,2716939492.3428707,21.534196053607186,3.9318256327243257,17.622173069956816
72.0,4.0,18.0,3.0,3.0,3.0,77777777.77777778,6.0,0.2222222222222222,12.0,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,5342276959.480811,6473607613.312442,22.446032434866087,4.290459441148391,18.169366328528604
