Giá (tỷ VNĐ),Diện tích (m2),Chiều ngang (m),Chiều dài (m),Số phòng ngủ,Số phòng vệ sinh,Số tầng,Thành phố_encoded,Phường/Xã_encoded,Loại hình_Nhà biệt thự,"Loại hình_Nhà mặt phố, mặt tiền","Loại hình_Nhà ngõ, hẻm",Loại hình_Nhà phố liền kề,Giấy tờ pháp lý_encoded,Hướng_sin,Hướng_cos,Tình trạng nội thất_encoded
0.7,82.0,4.3,20.0,3.0,2.0,2.0,3.856690834147931,3.905641938637152,0,1,0,0,4,0.7071067811865476,-0.7071067811865475,1.3
36.5,349.0,11.5,31.0,6.0,5.0,3.0,7.688481542509216,8.053514818435248,0,1,0,0,4,0.7071067811865476,-0.7071067811865475,1.3
0.69,24.5,3.5,7.0,2.0,1.0,2.0,3.486212360648896,4.937626320934301,0,1,0,0,4,0.0,1.0,1.3
7.5,64.0,4.454211490264018,14.368424162141991,3.0,3.0,3.0,7.688481542509216,7.973949383922861,0,1,0,0,4,0.7071067811865476,-0.7071067811865475,1.3
7.7,68.0,4.0,17.0,5.0,4.0,4.0,7.688481542509216,7.317671552566825,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
3.55,56.0,4.0,16.0,2.0,1.0,1.0,7.688481542509216,6.79963572126798,0,1,0,0,4,0.7071067811865476,-0.7071067811865475,1.3
9.5,260.0,8.977750274985377,28.96048475801734,4.0,4.0,3.4821428571428568,7.688481542509216,6.055521057776407,0,1,0,0,4,0.7071067811865476,-0.7071067811865475,1.3
10.5,72.0,4.0,18.0,10.0,5.5,4.0,7.688481542509216,7.702614290369129,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.1
3.2,156.0,8.0,19.0,2.0,2.0,2.0,7.688481542509216,5.277935299867749,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
14.9,63.0,4.0,16.0,5.0,5.0,1.0,7.688481542509216,7.973949383922861,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
6.7,208.0,5.0,41.6,11.0,3.0,1.0,4.942532781780636,5.487372502443793,0,1,0,0,4,0.7071067811865476,-0.7071067811865475,1.3
6.3,58.0,4.3,13.5,3.0,2.0,2.0,7.688481542509216,7.799938793946135,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.1
4.999,52.0,4.0,13.0,2.0,2.0,1.3928571428571428,7.688481542509216,8.824686668838927,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
3.55,65.0,5.0,14.0,2.0,2.0,1.7410714285714284,7.688481542509216,5.687495004887586,0,0,1,0,4,1.2246467991473532e-16,-1.0,1.3
3.44,33.0,6.5,5.0,2.0,2.0,2.0,7.688481542509216,7.799938793946135,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
4.85,51.0,4.0,13.0,2.0,2.0,1.3660714285714284,7.688481542509216,9.75401384765772,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
1.7,21.0,2.551470164434615,8.230548917531015,2.0,2.0,1.0,7.688481542509216,6.955032773930687,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
2.28,100.0,5.0,20.0,2.0,1.0,2.6785714285714284,3.486212360648896,4.937626320934301,0,0,1,0,4,0.0,1.0,1.3
21.0,270.0,10.0,29.0,4.0,5.0,5.0,7.688481542509216,13.657457696067375,0,0,1,0,4,0.0,1.0,1.3
7.39,48.0,4.0,12.0,4.0,4.0,4.0,7.688481542509216,7.262235527601995,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.5
7.89,36.0,3.0,12.0,5.0,4.0,4.0,7.688481542509216,6.9676539831659445,0,0,1,0,4,1.2246467991473532e-16,-1.0,1.3
6.65,62.0,4.0,16.0,5.0,5.0,4.0,7.688481542509216,6.526258905448654,0,0,1,0,4,0.0,1.0,1.5
1.69,122.5,5.0,24.5,3.0,1.0,1.0,3.856690834147931,7.565490009775172,0,0,1,0,4,1.2246467991473532e-16,-1.0,1.1
4.68,36.0,3.5,11.0,2.0,2.0,2.0,7.688481542509216,7.106919200782014,0,0,1,0,4,-0.7071067811865475,-0.7071067811865477,1.5
1.95,48.0,4.0,12.0,2.0,2.0,1.2857142857142856,7.688481542509216,4.822239396901567,0,0,1,0,3,0.7071067811865476,-0.7071067811865475,1.3
2.48,12.0,3.0,4.0,3.0,3.0,1.0,7.688481542509216,7.799938793946135,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
11.8,40.0,10.0,4.0,2.0,2.0,3.0,7.688481542509216,7.792148751221896,0,1,0,0,4,-0.7071067811865477,0.7071067811865474,1.3
7.3,70.0,5.0,14.0,4.0,3.0,3.0,7.688481542509216,14.27327241716385,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.5
3.1,60.0,4.0,15.0,2.0,2.0,1.607142857142857,4.942532781780636,7.382675003491133,0,1,0,0,4,1.2246467991473532e-16,-1.0,1.3
4.399,80.0,4.0,20.0,3.0,2.0,1.4285714285714286,7.688481542509216,4.822239396901567,0,0,1,0,4,1.0,6.123233995736766e-17,1.3
5.53,54.0,4.0,13.0,2.0,2.0,3.0,7.688481542509216,6.272079465158497,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
5.65,44.0,4.4,10.0,3.0,3.0,3.0,7.688481542509216,9.140200962478382,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.5
7.88,63.0,4.419275958796871,14.255728899344742,5.0,6.0,1.0,7.688481542509216,7.317671552566825,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
10.5,98.0,4.85,20.0,3.0,3.0,2.0,7.688481542509216,17.936993339850115,0,1,0,0,4,0.7071067811865476,-0.7071067811865475,1.3
0.565,40.0,4.0,12.0,3.0,2.0,1.0,7.688481542509216,3.703867745088765,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
0.699,32.0,4.0,8.0,2.0,2.0,1.0,7.688481542509216,7.565490009775172,0,0,1,0,0,-0.7071067811865477,0.7071067811865474,1.1
8.0,100.0,8.0,12.5,8.0,6.0,1.0,7.688481542509216,6.272079465158497,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
5.8,60.0,4.0,15.0,6.0,6.0,4.0,7.688481542509216,6.374656820403448,0,0,0,1,4,0.7071067811865476,-0.7071067811865475,1.1
2.65,46.0,3.7762415176998414,12.181424250644648,3.0,2.0,2.0,7.688481542509216,6.439029035411346,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
2.964,38.0,3.432200460346103,11.071614388213234,5.0,4.0,1.0,7.688481542509216,4.640852385607225,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
6.9,40.0,3.6,11.0,4.0,5.0,3.0,7.688481542509216,8.011101725823304,0,0,1,0,4,1.0,6.123233995736766e-17,1.3
1.05,64.0,4.0,16.0,2.0,1.0,1.0,7.688481542509216,6.539660006516781,0,0,1,0,0,0.7071067811865476,-0.7071067811865475,1.3
6.25,40.0,4.0,10.0,2.0,2.0,1.0714285714285714,7.688481542509216,7.799938793946135,0,1,0,0,4,0.7071067811865476,-0.7071067811865475,1.3
3.9,58.9,3.0,14.24,3.0,3.0,1.051785714285714,7.688481542509216,7.262235527601995,0,0,1,0,4,-1.0,-1.8369701987210292e-16,1.3
7.5,50.0,4.5,11.7,4.0,4.0,3.0,7.688481542509216,6.369802441408579,0,0,0,1,4,0.7071067811865476,-0.7071067811865475,1.1
8.3,70.0,4.3,17.0,2.0,3.0,1.875,7.688481542509216,7.792148751221896,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
18.5,185.0,8.0,23.5,4.0,2.0,2.0,7.688481542509216,6.397702470342614,0,0,1,0,4,1.0,6.123233995736766e-17,1.1
2.38,40.5,4.4,9.7,2.0,2.0,1.0,4.931075001879841,7.361778578410837,0,0,1,0,4,-0.7071067811865475,-0.7071067811865477,1.3
10.95,72.0,4.0,18.0,4.0,6.0,5.0,7.688481542509216,7.106919200782014,0,0,1,0,4,-0.7071067811865477,0.7071067811865474,1.5
3.4,45.0,3.73496987939662,12.048289933537482,2.0,2.0,1.2053571428571428,7.688481542509216,6.272079465158497,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
36.0,137.0,6.0,26.0,7.0,5.0,7.0,7.688481542509216,7.792148751221896,0,1,0,0,4,0.7071067811865476,-0.7071067811865475,1.3
9.49,113.0,3.5,35.0,3.0,3.0,1.0,7.688481542509216,8.824686668838927,0,1,0,0,4,0.7071067811865476,-0.7071067811865475,1.3
7.7,192.0,6.0,32.0,6.0,5.0,1.7142857142857142,7.688481542509216,6.530438238169168,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
10.6,30.0,4.5,6.666666666666667,3.0,4.0,5.0,11.577636567407344,9.63366000651678,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
5.85,43.0,3.651027252705737,11.7775072667927,3.0,3.0,1.0,11.577636567407344,7.565490009775172,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
1.9,11.0,2.6,4.0,2.0,2.0,1.0,7.688481542509216,6.955032773930687,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
0.86,75.0,5.0,15.0,2.0,2.0,2.008928571428571,4.942532781780636,5.112196003910069,0,1,0,0,4,0.7071067811865476,-0.7071067811865475,1.3
4.55,148.0,4.1,35.0,2.0,2.0,1.0,7.688481542509216,6.803050005430651,0,0,0,1,4,-0.7071067811865475,-0.7071067811865477,1.3
5.6,76.6,5.0,15.32,2.0,2.0,2.0,11.611726926836605,7.565490009775172,0,1,0,0,4,0.7071067811865476,-0.7071067811865475,1.3
9.2,69.0,3.7,20.0,7.0,6.0,2.0,7.688481542509216,7.792148751221896,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
9.999,75.0,3.9,16.0,5.0,3.0,3.0,7.688481542509216,7.973949383922861,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
4.1,70.0,4.0,16.0,3.0,3.0,1.2499999999999998,7.688481542509216,6.827021430898851,0,1,0,0,4,0.7071067811865476,-0.7071067811865475,1.3
5.8,130.0,5.0,26.0,3.0,2.0,2.0,4.942532781780636,5.014980001777303,0,1,0,0,4,-0.7071067811865475,-0.7071067811865477,1.5
7.8,60.0,4.312771730569565,13.912166872805049,4.0,4.0,1.0,7.688481542509216,7.106919200782014,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
5.6,49.0,4.0,12.5,2.0,2.0,1.3125,7.688481542509216,5.83781591131254,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
7.2,84.0,4.0,21.0,2.0,2.0,1.0,7.688481542509216,8.28166081213178,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.1
11.4,207.7,10.0,20.0,2.0,2.0,5.563392857142857,4.942532781780636,7.116900003153281,0,1,0,0,4,1.2246467991473532e-16,-1.0,1.3
5.379,33.0,3.0,11.0,3.0,3.0,4.0,7.688481542509216,7.317671552566825,0,0,1,0,4,-0.7071067811865477,0.7071067811865474,1.3
7.65,66.0,4.0,16.5,3.0,3.0,2.0,7.688481542509216,7.100345670061038,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
8.0,50.0,3.9370039370059056,12.70001270001905,4.0,4.0,1.0,11.577636567407344,8.328152636723773,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.5
6.48,47.0,4.0,12.0,4.0,5.0,5.0,7.688481542509216,5.663406124443913,0,1,0,0,4,0.0,1.0,1.3
4.65,40.0,4.0,10.0,3.0,2.0,2.0,7.688481542509216,6.955032773930687,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.1
2.15,34.0,3.0,11.5,2.0,2.0,2.0,4.942532781780636,5.014980001777303,0,0,1,0,4,0.0,1.0,1.3
1.27,28.0,3.5,8.0,2.0,2.0,1.0,7.688481542509216,5.300713096401806,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.1
15.7,73.5,3.5,21.0,1.0,2.0,3.9375,7.688481542509216,8.28166081213178,0,1,0,0,4,1.2246467991473532e-16,-1.0,1.3
10.8,294.0,8.6,35.0,2.0,1.0,1.0,7.688481542509216,6.235745004887586,0,1,0,0,4,1.0,6.123233995736766e-17,1.0
2.45,49.0,3.5,14.0,2.0,2.0,1.3125,7.688481542509216,5.300713096401806,0,0,1,0,3,0.7071067811865476,-0.7071067811865475,1.5
7.5,72.0,4.724404724407087,15.240015240022858,4.0,4.0,1.0,7.688481542509216,6.9676539831659445,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
3.5,27.0,3.3,8.0,2.0,2.0,2.0,7.688481542509216,6.397702470342614,0,1,0,0,4,0.7071067811865476,-0.7071067811865475,1.3
5.1,33.0,3.2,10.0,1.0,1.0,2.0,7.688481542509216,7.317671552566825,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
5.65,75.0,4.4,16.0,4.0,5.0,4.0,7.688481542509216,5.045067243064685,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.5
7.35,42.0,4.0,10.5,4.0,4.0,1.0,7.688481542509216,7.317671552566825,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
10.5,46.0,3.7762415176998414,12.181424250644648,4.0,4.0,5.0,11.577636567407344,8.65499231521167,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
2.7,60.0,4.312771730569565,13.912166872805049,3.0,3.0,1.0714285714285714,3.856690834147931,5.975350006982266,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
5.65,44.0,4.4,10.0,3.0,4.0,1.0,7.688481542509216,6.955032773930687,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
7.95,59.0,4.0,14.7,4.0,4.0,4.0,7.688481542509216,7.684029035411346,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
6.35,76.0,4.0,20.0,4.0,4.0,1.0178571428571428,7.688481542509216,6.526258905448654,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.5
3.899,40.0,4.0,9.0,2.0,2.0,2.0,7.688481542509216,6.272079465158497,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
17.9,60.0,4.312771730569565,13.912166872805049,3.0,3.0,1.0714285714285714,11.577636567407344,10.24683684725009,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.5
6.7,93.0,4.3,21.4,4.0,4.0,3.0,7.688481542509216,7.317671552566825,0,0,1,0,4,1.0,6.123233995736766e-17,1.1
7.7,52.0,4.0,12.5,5.0,5.0,5.0,7.688481542509216,7.262235527601995,0,1,0,0,4,0.7071067811865476,-0.7071067811865475,1.1
5.49,50.0,4.0,12.5,2.0,2.0,1.3392857142857142,7.688481542509216,8.053514818435248,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
5.35,87.0,5.0,17.5,3.0,3.0,2.0,7.688481542509216,5.557043940875026,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
1.85,16.0,5.2,3.0,1.0,1.0,1.0,7.688481542509216,6.9676539831659445,0,1,0,0,4,-1.0,-1.8369701987210292e-16,1.3
10.7,72.0,4.0,18.0,4.0,5.0,4.0,7.688481542509216,6.492965628054741,0,1,0,0,4,0.7071067811865476,-0.7071067811865475,1.5
3.7,140.0,6.0,27.0,2.0,2.0,3.75,4.942532781780636,9.286908826404462,0,1,0,0,4,0.7071067811865476,-0.7071067811865475,1.3
4.15,48.0,4.0,12.0,3.0,3.0,2.0,7.688481542509216,6.272079465158497,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
4.599,44.0,3.6932370625238775,11.913667943625413,3.0,3.0,1.0,7.688481542509216,7.317671552566825,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
5.15,30.0,3.0,10.0,3.0,3.0,3.0,7.688481542509216,8.89888246816722,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
4.78,41.0,4.0,11.0,2.0,2.0,2.0,7.688481542509216,7.106919200782014,0,0,1,0,4,-1.0,-1.8369701987210292e-16,1.1
15.1,55.0,4.129164564412516,13.319885691653274,6.0,4.0,5.0,11.577636567407344,10.95028824104422,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
7.3,38.0,3.432200460346103,11.071614388213234,5.0,5.0,1.0,11.577636567407344,7.449660006516781,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
7.25,66.0,3.5,19.5,6.0,3.0,3.0,7.688481542509216,7.829941667293281,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
6.8,76.0,5.4,13.0,2.0,2.0,1.0,7.688481542509216,7.829941667293281,0,0,1,0,4,0.7071067811865476,0.7071067811865476,1.3
10.499,55.0,4.2,12.5,5.0,4.0,5.0,7.688481542509216,8.294128236444138,0,0,1,0,4,1.0,6.123233995736766e-17,1.5
6.8,68.0,4.2,15.0,7.0,5.0,4.0,7.688481542509216,8.89888246816722,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
9.0,40.0,3.7,10.81081081081081,3.0,4.0,4.0,11.577636567407344,10.736993339850114,0,0,1,0,4,-0.7071067811865475,-0.7071067811865477,1.3
14.6,45.0,3.73496987939662,12.048289933537482,3.0,3.0,5.0,11.577636567407344,8.60422308444244,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
14.7,173.3,4.4,39.4,3.0,2.0,1.0,7.688481542509216,7.565490009775172,0,1,0,0,4,0.0,1.0,1.0
8.3,78.0,4.917316341257699,15.86231077825064,3.0,3.0,3.0,7.688481542509216,9.75401384765772,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.5
1.35,36.0,4.0,9.0,2.0,2.0,1.0,7.688481542509216,6.374656820403448,0,0,1,0,3,0.7071067811865476,-0.7071067811865475,1.3
5.6,100.0,5.0,20.0,4.0,5.0,3.0,4.942532781780636,5.487372502443793,0,1,0,0,4,0.7071067811865476,-0.7071067811865475,1.3
4.6,48.0,4.0,12.0,2.0,2.0,1.2857142857142856,7.688481542509216,6.01616568723286,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
8.4,36.0,3.340658617698013,10.776318121606494,3.0,3.0,1.0,11.577636567407344,7.565490009775172,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
2.6,80.0,4.0,20.0,3.0,2.0,2.0,4.931075001879841,14.27327241716385,0,0,0,1,4,0.7071067811865476,-0.7071067811865475,1.1
6.6,92.0,4.0,23.0,2.0,2.0,1.0,7.688481542509216,6.560925001437526,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
