Diện tích (m2),Hướng,Chiều ngang (m),Chiều dài (m),Số phòng ngủ,Số phòng vệ sinh,Số tầng,Tình trạng nội thất,Tổng_phòng,Aspect_ratio,Diện_tích_per_phòng,Thành phố_encoded,Phường/Xã_encoded,Loại hình_Nhà biệt thự,"Loại hình_Nhà mặt phố, mặt tiền","Loại hình_Nhà ngõ, hẻm",Loại hình_Nhà phố liền kề,Giấy tờ pháp lý_encoded,Giá
64.0,Bắc,4.0,16.0,4.0,3.0,3.0,Nội thất đầy đủ,7,0.25,9.142857142857142,6.460090305209852,6.137671425796426,False,True,False,False,4,5.6
85.0,Đông Bắc,5.0,17.0,4.0,3.0,3.0,Hoàn thiện cơ bản,7,0.2941176470588235,12.142857142857142,7.04928547008547,6.911583445793973,False,False,True,False,4,7.5
60.0,Không xác định,4.0,15.0,3.0,3.0,3.0,Không xác định,6,0.2666666666666666,10.0,6.460090305209852,5.928127662460995,False,False,True,False,4,5.15
182.0,Không xác định,7.0,22.0,4.0,4.0,4.0,Nội thất đầy đủ,8,0.3181818181818182,22.75,6.460090305209852,6.641274281274282,False,True,False,False,4,19.5
117.0,Tây Bắc,4.65,25.0,6.0,6.0,1.0,Nội thất cao cấp,12,0.186,9.75,6.460090305209852,6.820469663395588,False,False,True,False,4,7.85
81.0,Không xác định,4.992301766027063,16.22498073958795,2.0,2.0,2.0,Nội thất cao cấp,4,0.3076923076923078,20.25,6.460090305209852,4.941434676434676,False,False,True,False,4,1.8
149.0,Không xác định,6.0,24.0,1.0,1.0,8.277777777777779,Nội thất đầy đủ,2,0.25,74.5,6.460090305209852,3.858951866846604,False,True,False,False,4,0.8
114.0,Không xác định,4.0,28.5,3.0,3.0,2.111111111111111,Không xác định,6,0.1403508771929824,19.0,4.071625333867521,4.742984757834758,False,False,True,False,4,4.19
58.0,Tây Bắc,4.0,15.0,3.0,3.0,5.0,Nội thất cao cấp,6,0.2666666666666666,9.666666666666666,6.460090305209852,7.442778641111975,False,True,False,False,4,8.55
64.0,Không xác định,4.437601569801833,14.422205101855956,4.0,4.0,4.0,Không xác định,8,0.3076923076923077,8.0,6.460090305209852,7.866659453584309,False,False,True,False,4,7.2
45.0,Đông Bắc,4.5,10.0,2.0,2.0,1.0,Không xác định,4,0.45,11.25,6.460090305209852,6.689003885003885,False,False,True,False,2,3.75
43.0,Không xác định,3.6374124361651967,11.821590417536887,2.0,2.0,2.0,Nội thất cao cấp,4,0.3076923076923077,10.75,7.04928547008547,7.632005698005698,False,False,True,False,4,3.85
49.5,Không xác định,4.25,12.1,4.0,3.0,4.0,Không xác định,7,0.3512396694214876,7.071428571428571,6.460090305209852,6.542857753357753,False,False,True,False,4,7.5
25.0,Không xác định,2.773500981126145,9.013878188659971,2.0,2.0,1.0,Không xác định,4,0.3076923076923077,6.25,6.460090305209852,4.660986935286934,False,False,False,True,3,0.95
60.0,Nam,4.0,15.0,4.0,6.0,4.0,Nội thất cao cấp,10,0.2666666666666666,6.0,6.460090305209852,6.395365190365189,False,False,True,False,4,7.55
64.3,Tây,4.5,14.2,4.0,4.0,3.0,Nội thất cao cấp,8,0.3169014084507042,8.0375,4.071625333867521,5.415366226366227,False,False,False,True,4,4.6
117.0,Không xác định,6.3,19.0,2.0,1.0,1.0,Không xác định,3,0.331578947368421,39.0,6.460090305209852,7.57881339031339,False,False,True,False,4,11.8
68.0,Tây,4.0,17.0,4.0,4.0,2.0,Hoàn thiện cơ bản,8,0.2352941176470588,8.5,6.460090305209852,6.773551144196306,False,True,False,False,4,11.8
