Thành phố,Phường/Xã,Diện tích (m2),Loại hình,Giấy tờ pháp lý,Hướng,Chiều ngang (m),Chiều dài (m),Số phòng ngủ,Số phòng vệ sinh,Số tầng,Tình trạng nội thất,Giá bán (VND),Thành phố chính,Tình trạng nội thất_encoded,Giấy tờ pháp lý_encoded,Loại hình_grouped,"Loại hình_Nhà mặt phố, mặt tiền","Loại hình_Nhà ngõ, hẻm",Loại hình_Nhà phố liền kề,Hướng_grouped,Hướng_Nam,Hướng_Tây,Hướng_Tây Bắc,Hướng_Tây Nam,Hướng_Unknown,Hướng_Đông,Hướng_Đông Bắc,Hướng_Đông Nam,Thành phố chính_grouped,Thành phố chính_Khác,Thành phố chính_TP.HCM,Thành phố chính_Đà Nẵng,Phường/Xã_target_encoded,Thành phố_target_encoded
Đà Nẵng,Phường Phước Ninh,59.0,"Nhà ngõ, hẻm",Đã có sổ,Đông Bắc,4.1,15.0,3.0,2.0,2.0,Nội thất đầy đủ,5350000000.0,Đà Nẵng,3,4.0,"Nhà ngõ, hẻm",False,True,False,Đông Bắc,False,False,False,False,False,False,True,False,Đà Nẵng,False,False,True,3783333333.3333335,7551963709.67742
Bình Dương,Phường Tương Bình Hiệp,125.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Unknown,5.0,25.0,3.0,3.0,1.0,Nội thất đầy đủ,2500000000.0,Khác,3,4.0,"Nhà mặt phố, mặt tiền",True,False,False,Unknown,False,False,False,False,True,False,False,False,Khác,True,False,False,2810000000.0,5210152597.402597
Hà Nội,Phường Phương Canh,40.0,"Nhà ngõ, hẻm",Đã có sổ,Unknown,4.1,15.0,3.0,4.0,5.0,Nội thất đầy đủ,6150000000.0,Hà Nội,3,4.0,"Nhà ngõ, hẻm",False,True,False,Unknown,False,False,False,False,True,False,False,False,Hà Nội,False,False,False,9725000000.0,12621319905.21327
Tp Hồ Chí Minh,Phường 1,43.0,Nhà phố liền kề,Đã có sổ,Unknown,5.5,12.0,4.0,6.0,4.0,Unknown,5950000000.0,TP.HCM,0,4.0,Nhà phố liền kề,False,False,True,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,7937037974.683544,7783372663.267783
Tp Hồ Chí Minh,Phường 12,54.0,"Nhà ngõ, hẻm",Đã có sổ,Unknown,3.0,18.0,5.0,3.0,4.0,Nội thất cao cấp,5600000000.0,TP.HCM,4,4.0,"Nhà ngõ, hẻm",False,True,False,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,8518503703.703704,7783372663.267783
Tp Hồ Chí Minh,Phường Long Trường (Quận 9 cũ),94.0,"Nhà ngõ, hẻm",Đã có sổ,Unknown,5.0,15.0,4.0,3.0,3.0,Unknown,5600000000.0,TP.HCM,0,4.0,"Nhà ngõ, hẻm",False,True,False,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,6499545454.545455,7783372663.267783
Tp Hồ Chí Minh,Phường Bình Hưng Hòa,80.0,"Nhà ngõ, hẻm",Đã có sổ,Unknown,4.0,20.0,4.0,3.0,3.0,Nội thất đầy đủ,7000000000.0,TP.HCM,3,4.0,"Nhà ngõ, hẻm",False,True,False,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,6354028571.428572,7783372663.267783
Tp Hồ Chí Minh,Xã Tân Quý Tây,80.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Unknown,5.0,16.0,3.0,3.0,3.0,Unknown,1200000000.0,TP.HCM,0,4.0,"Nhà mặt phố, mặt tiền",True,False,False,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,1835714285.7142856,7783372663.267783
Tp Hồ Chí Minh,Phường Bình Hưng Hòa,52.0,"Nhà ngõ, hẻm",Đã có sổ,Unknown,4.0,13.0,4.0,4.0,5.0,Nội thất cao cấp,7800000000.0,TP.HCM,4,4.0,"Nhà ngõ, hẻm",False,True,False,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,6354028571.428572,7783372663.267783
Tp Hồ Chí Minh,Phường Long Thạnh Mỹ (Quận 9 cũ),97.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Unknown,4.1,15.0,4.0,3.0,3.0,Unknown,6000000000.0,TP.HCM,0,4.0,"Nhà mặt phố, mặt tiền",True,False,False,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,8017500000.0,7783372663.267783
