Diện tích (m2),Chiều ngang (m),Chiều dài (m),Số phòng ngủ,Số phòng vệ sinh,Số tầng,Giá_per_m2,Tổng_phòng,Aspect_ratio,Diện_tích_per_phòng,"Loại hình_Nhà mặt phố, mặt tiền","Loại hình_Nhà ngõ, hẻm",Loại hình_Nhà phố liền kề,Giấy tờ pháp lý_Không có sổ,Giấy tờ pháp lý_Sổ chung / công chứng vi bằng,Giấy tờ pháp lý_Đang chờ sổ,Giấy tờ pháp lý_Đã có sổ,Hướng_Không xác định,Hướng_Nam,Hướng_Tây,Hướng_Tây Bắc,Hướng_Tây Nam,Hướng_Đông,Hướng_Đông Bắc,Hướng_Đông Nam,Tình trạng nội thất_Hoàn thiện cơ bản,Tình trạng nội thất_Không xác định,Tình trạng nội thất_Nội thất cao cấp,Tình trạng nội thất_Nội thất đầy đủ,Phường/Xã_encoded,Thành phố_encoded,Diện tích (m2)_log,Giá_per_m2_log,Giá bán_numeric_log
63.0,4.5,14.0,4.0,5.0,4.0,90476190.47619048,9.0,0.32142857142857145,7.0,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,5097545454.545455,6466669433.246384,4.1588830833596715,18.320597296448014,22.463732011962353
44.0,4.0,13.0,2.0,1.0,2.0,179545454.54545453,3.0,0.3076923076923077,14.666666666666666,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,8181161764.705882,6466669433.246384,3.8066624897703196,19.005938968070748,22.79012859654597
72.0,4.0,18.0,4.0,6.0,2.0,109583333.33333333,10.0,0.2222222222222222,7.2,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,6527738095.238095,6466669433.246384,4.290459441148391,18.512195861913614,22.788861971930938
56.0,4.0,14.0,4.0,3.0,4.0,91964285.71428572,7.0,0.2857142857142857,8.0,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,4468000000.0,6466669433.246384,4.04305126783455,18.336910871760693,22.36226255181623
50.0,5.2,9.5,4.0,3.0,4.0,119000000.0,7.0,0.5473684210526316,7.142857142857143,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,6622519685.039371,6466669433.246384,3.9318256327243257,18.594634059479166,22.506657056672015
60.0,5.0,12.0,1.0,1.0,1.0,111666666.66666667,2.0,0.4166666666666667,30.0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,4926785714.285714,6466669433.246384,4.110873864173311,18.531028810076453,22.625373363492585
67.4,4.0,16.7,2.0,2.0,2.0,75667655.78635015,4.0,0.23952095808383234,16.85,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,6866666666.666667,6466669433.246384,4.225372824628505,18.141861371974116,22.35250637687277
43.0,4.4,10.0,4.0,3.0,3.0,131395348.8372093,7.0,0.44000000000000006,6.142857142857143,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,6920266666.666667,6466669433.246384,3.784189633918261,18.69372127402182,22.454921382281753
30.0,4.5,7.0,2.0,2.0,2.0,161666666.66666666,4.0,0.6428571428571429,7.5,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,7516624000.0,6466669433.246384,3.4339872044851463,18.901047166419215,22.302244542101988
64.0,4.0,16.0,5.0,5.0,3.0,112500000.0,10.0,0.25,6.4,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,5653570175.438597,6466669433.246384,4.174387269895637,18.538463788497637,22.69734686310731
60.0,4.0,15.0,3.0,3.0,2.0,83333333.33333333,6.0,0.26666666666666666,10.0,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,5481324324.324325,6466669433.246384,4.110873864173311,18.23835919915841,22.33270374958051
50.0,5.0,10.0,3.0,2.0,1.0,37800000.0,5.0,0.5,10.0,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,2120000000.0,2273320000.0,3.9318256327243257,17.44781968704484,21.359842666547063
86.0,5.5,15.7,3.0,1.0,2.0,15930232.558139535,4.0,0.35031847133757965,21.5,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,3910000000.0,4013214285.714286,4.465908118654584,16.583729343306658,21.03807657751637
45.5,3.5,13.0,4.0,4.0,4.0,129670329.67032968,8.0,0.2692307692307692,5.6875,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,6798836734.693877,6466669433.246384,3.8394523125933104,18.680505869613043,22.498218188027575
55.0,3.9,15.0,2.0,3.0,2.0,85454545.45454545,5.0,0.26,11.0,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,6291113207.54717,6466669433.246384,4.02535169073515,18.26349517213208,22.27082834587519
50.0,5.0,10.0,2.0,2.0,2.0,106000000.0,4.0,0.5,12.5,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,6173937500.0,6466669433.246384,3.9318256327243257,18.478949661510303,22.390972657693165
40.0,4.05,10.0,2.0,2.0,2.0,121250000.0,4.0,0.40499999999999997,10.0,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,6622519685.039371,6466669433.246384,3.713572066704308,18.613365096029288,22.302244542101988
