iter	RMSE
0	7.11260186
1	6.788730495
2	6.496439948
3	6.204912234
4	5.920159774
5	5.658744323
6	5.409632945
7	5.183042041
8	4.965713247
9	4.75059494
10	4.548324152
11	4.34444893
12	4.148181015
13	3.968037719
14	3.784668175
15	3.660831175
16	3.504787809
17	3.354132103
18	3.224577724
19	3.102329002
20	2.978396106
21	2.861134801
22	2.747320754
23	2.632367906
24	2.527284157
25	2.422202779
26	2.329794355
27	2.239742811
28	2.164644997
29	2.078620444
30	2.005762845
31	1.929685322
32	1.855702233
33	1.791995139
34	1.727628616
35	1.662511125
36	1.601686002
37	1.54274432
38	1.491248602
39	1.442899941
40	1.39131401
41	1.343151481
42	1.296751007
43	1.251501318
44	1.210105932
45	1.172882616
46	1.136875117
47	1.099491189
48	1.062234807
49	1.032743407
50	1.001339514
51	0.973235447
52	0.9474798449
53	0.921847726
54	0.8967615353
55	0.8713793538
56	0.8462142521
57	0.8255730208
58	0.802721802
59	0.7827279636
60	0.7637208047
61	0.7443716147
62	0.7274474811
63	0.711018991
64	0.6964361428
65	0.6800108223
66	0.6631678802
67	0.6505356604
68	0.6360597721
69	0.6227928871
70	0.6108692032
71	0.5992234927
72	0.5879668143
73	0.5755504941
74	0.5649011749
75	0.5546179045
76	0.5463312422
77	0.5374348185
78	0.5268353475
79	0.5171453182
80	0.5101356645
81	0.5018805414
82	0.4929949765
83	0.4857633782
84	0.4783162682
85	0.4721458282
86	0.463632946
87	0.4567701184
88	0.4504935197
89	0.444684927
90	0.4384168951
91	0.4314986033
92	0.4264538865
93	0.4212185155
94	0.4153491729
95	0.409851346
96	0.4057174328
97	0.4007326214
98	0.3971917095
99	0.3917082148
100	0.3870850562
101	0.3829451424
102	0.3794056928
103	0.3759840441
104	0.3721640239
105	0.3678593645
106	0.3641848138
107	0.360375035
108	0.3571271756
109	0.3535564031
110	0.3502080475
111	0.3453666017
112	0.3423545741
113	0.3390952856
114	0.3363437072
115	0.3337944888
116	0.3313144476
117	0.3277807027
118	0.3247406374
119	0.3224196608
120	0.3196962601
121	0.3174341623
122	0.3145667256
123	0.3116373604
124	0.3089155247
125	0.3069366095
126	0.303896154
127	0.3011483337
128	0.2981577043
129	0.2961994233
130	0.2940804885
131	0.2919554719
132	0.289737158
133	0.2880277475
134	0.2860422381
135	0.2837704163
136	0.2813903012
137	0.2797092246
138	0.277528394
139	0.2757429414
140	0.273753438
141	0.2717523459
142	0.2700131408
143	0.2683816175
144	0.2662421608
145	0.2643448656
146	0.2629378143
147	0.2611736743
148	0.2595959284
149	0.2574508443
150	0.2560248813
151	0.2545771817
152	0.2529975576
153	0.2517261287
154	0.2500783591
155	0.2490127272
156	0.2481894397
157	0.2470562393
158	0.2453722218
159	0.2438133956
160	0.2425921395
161	0.2414439015
162	0.2396775632
163	0.2381016428
164	0.2369274829
165	0.2355702405
166	0.2343358267
167	0.2331695561
168	0.2318007594
169	0.2306891956
170	0.2295679119
171	0.2283858373
172	0.2268224411
173	0.225596218
174	0.2244393456
175	0.222955623
176	0.2216679788
177	0.2205959453
178	0.2193652571
179	0.2183300764
180	0.2172710625
181	0.2159998367
182	0.2151987279
183	0.2142567814
184	0.2129275458
185	0.2120883117
186	0.21122475
187	0.2101331716
188	0.2091472596
189	0.2081875768
190	0.2070860689
191	0.2059803327
192	0.2052160566
193	0.204036195
194	0.2028211928
195	0.2020320716
196	0.2011622606
197	0.2000209789
198	0.1991006953
199	0.1981461871
200	0.1972518299
201	0.1964076577
202	0.1955037375
203	0.1945625497
204	0.1935501319
205	0.1928090673
206	0.1919159126
207	0.1908648866
208	0.1899420453
209	0.1889673845
210	0.1879835673
211	0.1873757338
212	0.1866183937
213	0.1857799966
214	0.1848749304
215	0.184125983
216	0.1833218825
217	0.1826780828
218	0.1820457778
219	0.1814282111
220	0.1808054255
221	0.1801765364
222	0.1794559125
223	0.1787004069
224	0.1779160461
225	0.1772382624
226	0.1764238277
227	0.175860679
228	0.1751298539
229	0.1743316196
230	0.1736550327
231	0.1729677345
232	0.1722571259
233	0.171541073
234	0.1708759658
235	0.1702578167
236	0.1696676842
237	0.1689999135
238	0.168359244
239	0.1676574781
240	0.1671070394
241	0.1663359068
242	0.1658118653
243	0.1653843406
244	0.1647495415
245	0.1643156693
246	0.1635354035
247	0.1629811711
248	0.1623253139
249	0.1618404294
250	0.1612613376
251	0.1608151506
252	0.1603290893
253	0.1598683182
254	0.1594197864
255	0.1588337931
256	0.1583848915
257	0.1578378623
258	0.1573792433
259	0.1566165913
260	0.1561317095
261	0.1555144695
262	0.1549739129
263	0.1544278131
264	0.1538453019
265	0.1533706872
266	0.1528968094
267	0.1522145966
268	0.1515759974
269	0.1511389609
270	0.150793652
271	0.150295056
272	0.1497345599
273	0.1492794475
274	0.1488125964
275	0.148301356
276	0.1479448867
277	0.1475390263
278	0.1471887919
279	0.1467592718
280	0.1462884205
281	0.1459086398
282	0.1454630132
283	0.1451112981
284	0.1446633002
285	0.1441560388
286	0.1437221222
287	0.1433101894
288	0.1429653611
289	0.1424780612
290	0.1420563239
291	0.1416175388
292	0.1411574271
293	0.1408325538
294	0.1403425992
295	0.1399640553
296	0.1395513979
297	0.1391548535
298	0.1385991599
299	0.1381960841
300	0.1377305005
301	0.1373634247
302	0.136990251
303	0.1366132466
304	0.1362841477
305	0.1358779644
306	0.1354832281
307	0.1350597555
308	0.1347521353
309	0.134386365
310	0.1339506976
311	0.1336857853
312	0.1333187748
313	0.1328460533
314	0.1324780306
315	0.1321041239
316	0.1317635735
317	0.1311391708
318	0.1307494334
319	0.1304208494
320	0.1300476525
321	0.1297180938
322	0.1294503641
323	0.1291013597
324	0.1287551938
325	0.128409565
326	0.127907675
327	0.1274776246
328	0.1272335741
329	0.126907514
330	0.1265099117
331	0.1262354145
332	0.1259842168
333	0.1256538726
334	0.1253228776
335	0.124978943
336	0.1246462034
337	0.124436569
338	0.1241214036
339	0.123808069
340	0.1235342631
341	0.1232298203
342	0.1229250192
343	0.1226275291
344	0.1223803821
345	0.1220511271
346	0.1218105829
347	0.121597402
348	0.1211474052
349	0.1209178515
350	0.1206188798
351	0.1203542319
352	0.12012928
353	0.1198827753
354	0.1195623506
355	0.1192918676
356	0.1190180434
357	0.1187545859
358	0.1183467625
359	0.1181611478
360	0.1178827483
361	0.1174252724
362	0.1171438038
363	0.1168986647
364	0.1166937247
365	0.1164255503
366	0.1161822629
367	0.1159131291
368	0.1156905538
369	0.1154365951
370	0.1152243675
371	0.114960433
372	0.1146924208
373	0.1144212469
374	0.1141699363
375	0.1138764737
376	0.1134685675
377	0.1131003941
378	0.1128283878
379	0.1125134968
380	0.1123010564
381	0.1120737031
382	0.1118272964
383	0.1116153534
384	0.1114150449
385	0.1111588249
386	0.1109283021
387	0.110699371
388	0.1105738785
389	0.1102810213
390	0.1100470658
391	0.1097415209
392	0.1095737442
393	0.1092998962
394	0.1091080344
395	0.1088562917
396	0.1085835038
397	0.1083454034
398	0.1081721578
399	0.1079686982
400	0.1077857567
401	0.1075674468
402	0.1073973812
403	0.1072044803
404	0.1069516111
405	0.1066602495
406	0.1063798865
407	0.106243843
408	0.1060312237
409	0.105781378
410	0.1055589214
411	0.1053189959
412	0.1050069556
413	0.1047950318
414	0.1045782877
415	0.1043496333
416	0.1041464611
417	0.1039947828
418	0.1038225233
419	0.1035921555
420	0.1034219358
421	0.1032499662
422	0.1031295484
423	0.1028609831
424	0.1026840396
425	0.1024657646
426	0.1022707448
427	0.1020320339
428	0.1018144983
429	0.1016115626
430	0.1014144277
431	0.1012252232
432	0.1010099062
433	0.100693611
434	0.1004517975
435	0.1002073316
436	0.09997318282
437	0.09978180686
438	0.09958106935
439	0.09943644928
440	0.09924454126
441	0.09901677981
442	0.0987558543
443	0.09856681985
444	0.09836385725
445	0.09814953851
446	0.09792881129
447	0.09772949963
448	0.09746418364
449	0.09726844402
450	0.09707157117
451	0.09686223767
452	0.09669102836
453	0.09654150022
454	0.09634684686
455	0.09615166744
456	0.09598052861
457	0.09577798291
458	0.0956607883
459	0.09545802722
460	0.09525473445
461	0.09512928726
462	0.09497365054
463	0.09475501601
464	0.0945909508
465	0.09436928463
466	0.09414807717
467	0.09399742966
468	0.0938501554
469	0.09368011096
470	0.09355728497
471	0.09332404518
472	0.09318680889
473	0.09304366212
474	0.09283476309
475	0.09263802022
476	0.09252023737
477	0.09231575482
478	0.09212943069
479	0.09191889936
480	0.09173824
481	0.09162507467
482	0.09149387682
483	0.09133093903
484	0.09118029288
485	0.09105107596
486	0.09088253644
487	0.09068801428
488	0.09053172153
489	0.09039760403
490	0.09020749302
491	0.09005232851
492	0.08991182705
493	0.08973139861
494	0.08955273622
495	0.08939587001
496	0.08927706519
497	0.08918953146
498	0.0889489256
499	0.08878100571
500	0.08866616908
501	0.08848219749
502	0.0883349563
503	0.08819334797
504	0.08808191277
505	0.08790323264
506	0.08772069553
507	0.08756946429
508	0.08746818044
509	0.08735906619
510	0.08719349114
511	0.08702351909
512	0.08688778716
513	0.08675602869
514	0.08657632821
515	0.08644073674
516	0.08625639096
517	0.08608792762
518	0.08590185967
519	0.08574389016
520	0.08556321416
521	0.08536732231
522	0.0852293591
523	0.08507866433
524	0.08494257365
525	0.08477711087
526	0.084640137
527	0.08452991211
528	0.08437773928
529	0.08425548964
530	0.0841100117
531	0.08392152225
532	0.08382178127
533	0.08366620855
534	0.08352564613
535	0.08334461428
536	0.08321098999
537	0.08302225572
538	0.08285414081
539	0.08267436211
540	0.08254567283
541	0.08237274639
542	0.08221822514
543	0.0820756704
544	0.08187311749
545	0.08172849869
546	0.08159636086
547	0.08142660232
548	0.0812646021
549	0.08110439466
550	0.08101082445
551	0.08087906296
552	0.08080728433
553	0.08069788076
554	0.08060654296
555	0.08035454527
556	0.08019397161
557	0.0800377118
558	0.07996975647
559	0.07980387638
560	0.07964897137
561	0.0795453467
562	0.07945174839
563	0.07926389503
564	0.07908959037
565	0.07895476057
566	0.07885010181
567	0.07868977421
568	0.07857056021
569	0.0784100649
570	0.0783048434
571	0.0781585518
572	0.07806639441
573	0.07795323273
574	0.07784203135
575	0.07772781022
576	0.07758619719
577	0.07748072132
578	0.07741115155
579	0.07723999737
580	0.07714850548
581	0.07702624259
582	0.07689618926
583	0.07678006803
584	0.0766755399
585	0.07651597176
586	0.07637945592
587	0.07625260872
588	0.07611365705
589	0.07595629322
590	0.0757871955
591	0.07561428991
592	0.07552160324
593	0.07544104076
594	0.07531757266
595	0.07519527342
596	0.07508455254
597	0.07496141493
598	0.07480990311
599	0.07472101093
600	0.07464145979
601	0.07448081701
602	0.07436979431
603	0.07429152601
604	0.07417235591
605	0.07404694144
606	0.07392521981
607	0.07379528056
608	0.07363365699
609	0.07354650711
610	0.07342178199
611	0.07334250881
612	0.07316860996
613	0.07307260306
614	0.07291812922
615	0.07276945371
616	0.07265692227
617	0.07254249741
618	0.07244976308
619	0.0723742289
620	0.072273371
621	0.07217341743
622	0.07203676373
623	0.07190825933
624	0.07181933277
625	0.07174706133
626	0.07167131861
627	0.0715503434
628	0.0714273948
629	0.07129740288
630	0.07114703126
631	0.07106936392
632	0.07096960462
633	0.07085812675
634	0.07079278277
635	0.07072000854
636	0.07060515626
637	0.0705193858
638	0.07036620906
639	0.07027254656
640	0.07018090028
641	0.07008392858
642	0.0699776496
643	0.06988260754
644	0.06974541869
645	0.06963587362
646	0.06953706456
647	0.06943556842
648	0.06932671477
649	0.06923074405
650	0.06913074537
651	0.06903748901
652	0.0689522317
653	0.06886542898
654	0.06879174748
655	0.06871102918
656	0.06857566109
657	0.06843936278
658	0.06826478241
659	0.06817066767
660	0.06803598338
661	0.06791262795
662	0.0677905611
663	0.06768680123
664	0.06754041393
665	0.06744695065
666	0.06732613395
667	0.06723837102
668	0.0671043395
669	0.06703311457
670	0.06692738093
671	0.06684086391
672	0.06675918897
673	0.06667234496
674	0.06660726267
675	0.06653138093
676	0.06639408154
677	0.06632682479
678	0.06625806816
679	0.06615990997
680	0.06604676985
681	0.06594041547
682	0.06587046373
683	0.06575955898
684	0.06567054549
