iter	Passed	Remaining
0	10	19155
1	21	19514
2	30	18670
3	38	17370
4	44	16084
5	57	17391
6	64	16655
7	68	15578
8	73	14935
9	79	14481
10	87	14482
11	94	14251
12	103	14440
13	111	14393
14	118	14264
15	122	13844
16	126	13520
17	135	13634
18	145	13836
19	154	13943
20	162	13964
21	169	13887
22	175	13767
23	183	13811
24	196	14142
25	203	14105
26	210	14027
27	218	14016
28	224	13923
29	233	13971
30	239	13908
31	247	13871
32	253	13784
33	258	13647
34	266	13656
35	274	13647
36	285	13818
37	300	14166
38	313	14377
39	326	14577
40	339	14781
41	351	14942
42	361	15017
43	369	14992
44	378	14985
45	386	14959
46	397	15060
47	410	15221
48	423	15376
49	450	16014
50	467	16291
51	473	16162
52	482	16148
53	495	16290
54	507	16358
55	518	16414
56	530	16488
57	541	16524
58	552	16579
59	564	16636
60	578	16747
61	591	16852
62	605	16970
63	620	17107
64	637	17278
65	650	17373
66	656	17247
67	661	17123
68	667	17018
69	672	16901
70	691	17123
71	699	17063
72	705	16952
73	710	16846
74	716	16753
75	722	16650
76	727	16542
77	733	16450
78	743	16456
79	749	16372
80	757	16328
81	771	16417
82	785	16520
83	804	16700
84	823	16890
85	835	16922
86	856	17131
87	887	17544
88	904	17681
89	940	18168
90	960	18334
91	981	18527
92	1015	18948
93	1045	19283
94	1072	19558
95	1086	19610
96	1108	19787
97	1123	19830
98	1139	19905
99	1151	19905
100	1162	19876
101	1179	19964
102	1193	19981
103	1207	20017
104	1218	19999
105	1230	19997
106	1245	20036
107	1256	20011
108	1266	19979
109	1279	19984
110	1293	20012
111	1306	20012
112	1316	19975
113	1327	19959
114	1339	19951
115	1350	19933
116	1361	19904
117	1371	19869
118	1390	19964
119	1404	19989
120	1431	20188
121	1438	20118
122	1446	20050
123	1452	19958
124	1459	19883
125	1468	19834
126	1480	19827
127	1486	19736
128	1491	19643
129	1497	19555
130	1503	19470
131	1509	19388
132	1516	19323
133	1530	19352
134	1543	19357
135	1555	19355
136	1566	19331
137	1577	19319
138	1585	19269
139	1594	19220
140	1600	19149
141	1608	19102
142	1621	19107
143	1630	19063
144	1639	19034
145	1649	19006
146	1665	19040
147	1678	19058
148	1686	19000
149	1694	18950
150	1702	18904
151	1710	18855
152	1719	18825
153	1729	18797
154	1738	18759
155	1745	18712
156	1752	18650
157	1760	18609
158	1766	18539
159	1771	18471
160	1776	18398
161	1781	18325
162	1789	18274
163	1796	18224
164	1804	18182
165	1811	18136
166	1819	18100
167	1827	18053
168	1840	18064
169	1847	18022
170	1857	17995
171	1866	17966
172	1874	17930
173	1882	17892
174	1890	17857
175	1898	17822
176	1908	17800
177	1916	17767
178	1924	17731
179	1933	17700
180	1942	17674
181	1951	17651
182	1959	17612
183	1967	17580
184	1975	17546
185	1983	17510
186	1991	17473
187	1998	17435
188	2006	17399
189	2013	17362
190	2021	17322
191	2028	17286
192	2038	17272
193	2047	17242
194	2055	17213
195	2064	17188
196	2072	17156
197	2087	17184
198	2095	17154
199	2104	17126
200	2111	17093
201	2120	17069
202	2128	17036
203	2136	17009
204	2144	16978
205	2150	16930
206	2155	16883
207	2161	16833
208	2169	16804
209	2175	16761
210	2181	16714
211	2188	16678
212	2195	16647
213	2204	16627
214	2210	16582
215	2215	16534
216	2228	16543
217	2238	16529
218	2245	16494
219	2250	16452
220	2256	16410
221	2262	16366
222	2268	16324
223	2273	16280
224	2279	16240
225	2285	16201
226	2291	16159
227	2296	16115
228	2302	16075
229	2307	16032
230	2312	15987
231	2325	15996
232	2335	15985
233	2348	16001
234	2362	16017
235	2378	16046
236	2390	16048
237	2399	16028
238	2405	15991
239	2410	15950
240	2417	15918
241	2425	15895
242	2435	15885
243	2441	15848
244	2446	15809
245	2452	15771
246	2457	15732
247	2464	15699
248	2470	15664
249	2482	15667
250	2493	15666
251	2507	15684
252	2519	15682
