iter	RMSE
0	7.124208671
1	6.800060324
2	6.507660134
3	6.23239029
4	5.954697677
5	5.686844039
6	5.439446588
7	5.220217116
8	4.988560173
9	4.793074347
10	4.578361694
11	4.382898207
12	4.189875282
13	4.026584664
14	3.847910493
15	3.68690254
16	3.534141115
17	3.382644503
18	3.244587257
19	3.107049849
20	2.984168732
21	2.86365901
22	2.744947388
23	2.63447589
24	2.538955466
25	2.435011819
26	2.335142172
27	2.244127672
28	2.157494226
29	2.074598367
30	1.999021479
31	1.91801628
32	1.860457265
33	1.791662399
34	1.722847628
35	1.657041589
36	1.59704176
37	1.539121481
38	1.484619315
39	1.434467644
40	1.386576855
41	1.343200357
42	1.300024574
43	1.258374854
44	1.216532339
45	1.177936253
46	1.138311501
47	1.102892312
48	1.067338703
49	1.036414233
50	1.005072478
51	0.9761785935
52	0.9466304826
53	0.9199803159
54	0.8916852107
55	0.8665424481
56	0.8416854883
57	0.8189268979
58	0.7971791184
59	0.7786424835
60	0.7626014685
61	0.7456051438
62	0.7265111649
63	0.7076007954
64	0.6913308887
65	0.6781010325
66	0.6628201056
67	0.6482905405
68	0.6343222434
69	0.6203460263
70	0.6080416465
71	0.5973783572
72	0.5861967105
73	0.5755633885
74	0.5673311853
75	0.5559159958
76	0.5462747316
77	0.5363181851
78	0.5271336694
79	0.5187364755
80	0.5101962594
81	0.5018403366
82	0.4942804119
83	0.4868045107
84	0.4786684707
85	0.4733027988
86	0.4668856539
87	0.4603235283
88	0.4545891592
89	0.4488412045
90	0.4427494173
91	0.437245187
92	0.4309945939
93	0.4250341424
94	0.4191598275
95	0.414766329
96	0.4097150421
97	0.4058574324
98	0.4013047748
99	0.3958784557
100	0.3904754868
101	0.3866722182
102	0.3822475073
103	0.3783303281
104	0.3733362856
105	0.3696533692
106	0.3660904846
107	0.3620586549
108	0.3586825202
109	0.3548349278
110	0.3519737633
111	0.3484488124
112	0.3449756391
113	0.3416702296
114	0.3389423588
115	0.3363901116
116	0.333265886
117	0.3302518038
118	0.3269900723
119	0.3236090369
120	0.3208407421
121	0.3173587096
122	0.3142177093
123	0.3120813283
124	0.3095278757
125	0.3074353149
126	0.3056199393
127	0.3033368875
128	0.3004967905
129	0.2980728655
130	0.2953645932
131	0.2934100784
132	0.2909289338
133	0.2888788894
134	0.286501122
135	0.2848475674
136	0.2828376891
137	0.2808011412
138	0.2787852744
139	0.2764476809
140	0.2743473278
141	0.2724076441
142	0.2703108962
143	0.2684724387
144	0.2665342643
145	0.2648209428
