iter	Passed	Remaining
0	15	28314
1	29	27117
2	36	22441
3	52	24068
4	62	22632
5	69	21046
6	75	19624
7	81	18573
8	86	17525
9	93	17087
10	101	16749
11	108	16437
12	116	16208
13	123	16029
14	129	15617
15	134	15204
16	140	14990
17	147	14871
18	154	14750
19	162	14717
20	171	14776
21	177	14580
22	182	14346
23	190	14282
24	200	14460
25	209	14554
26	219	14616
27	231	14885
28	238	14802
29	250	14988
30	261	15172
31	270	15162
32	276	15057
33	285	15084
34	308	15821
35	322	16038
36	332	16091
37	344	16215
38	353	16203
39	363	16246
40	370	16131
41	379	16120
42	388	16119
43	398	16168
44	407	16151
45	417	16182
46	429	16270
47	439	16282
48	448	16292
49	460	16384
50	470	16384
51	477	16316
52	485	16253
53	494	16260
54	506	16320
55	515	16300
56	524	16286
57	530	16184
58	546	16381
59	556	16384
60	565	16383
61	575	16378
62	582	16322
63	593	16354
64	604	16396
65	613	16375
66	621	16338
67	630	16328
68	641	16344
69	650	16333
70	659	16311
71	666	16251
72	672	16175
73	679	16101
74	690	16139
75	697	16071
76	704	16022
77	710	15949
78	719	15936
79	727	15887
80	736	15879
81	742	15811
82	752	15816
83	758	15753
84	765	15700
85	773	15676
86	789	15793
87	796	15742
88	808	15789
89	821	15870
90	837	15993
91	854	16115
92	864	16134
93	871	16070
94	879	16046
95	885	15981
96	892	15927
97	910	16078
98	921	16089
99	926	16017
100	933	15956
101	938	15882
102	944	15819
103	959	15904
104	971	15937
105	981	15946
106	989	15916
107	1004	16001
108	1014	15993
109	1031	16108
110	1042	16119
111	1053	16136
112	1063	16139
113	1071	16116
114	1081	16102
115	1089	16079
116	1103	16133
117	1113	16138
118	1122	16126
119	1132	16118
120	1142	16124
121	1153	16131
122	1164	16142
123	1170	16088
124	1179	16065
125	1185	16013
126	1193	15991
127	1201	15960
128	1214	16001
129	1222	15963
130	1227	15906
131	1235	15870
132	1245	15871
133	1251	15817
134	1258	15787
135	1275	15868
136	1282	15826
137	1287	15772
138	1295	15738
139	1301	15691
140	1309	15662
141	1314	15610
142	1322	15586
143	1329	15544
144	1337	15518
145	1342	15467
146	1347	15414
147	1354	15374
148	1361	15347
149	1369	15320
150	1375	15273
151	1381	15233
152	1392	15242
153	1402	15250
154	1412	15240
155	1423	15255
156	1435	15273
157	1445	15275
158	1453	15252
159	1459	15213
160	1469	15216
161	1479	15219
162	1491	15232
163	1501	15231
164	1511	15234
165	1528	15301
166	1539	15316
167	1547	15291
168	1559	15305
169	1569	15306
170	1579	15301
171	1590	15310
172	1601	15318
173	1611	15318
174	1622	15323
175	1632	15323
176	1642	15322
177	1652	15321
178	1662	15317
179	1673	15322
180	1684	15324
181	1694	15322
182	1703	15314
183	1714	15315
184	1724	15314
185	1736	15328
186	1746	15330
187	1757	15331
188	1773	15377
189	1785	15389
190	1796	15398
191	1808	15410
192	1821	15435
193	1833	15443
194	1842	15432
195	1852	15426
196	1862	15418
197	1872	15413
198	1884	15425
199	1895	15426
200	1906	15428
201	1916	15423
202	1926	15420
203	1937	15426
204	1948	15430
205	1959	15428
206	1965	15391
207	1971	15356
208	1978	15327
209	1985	15295
210	1994	15287
211	2001	15255
212	2006	15216
213	2020	15239
214	2029	15225
215	2036	15200
216	2043	15171
217	2050	15142
218	2056	15105
219	2061	15067
220	2067	15034
221	2077	15029
222	2087	15025
223	2099	15036
224	2113	15058
225	2125	15067
226	2141	15106
227	2156	15131
228	2169	15150
229	2182	15162
230	2195	15178
231	2207	15185
232	2219	15192
233	2229	15186
234	2237	15168
235	2243	15133
236	2252	15119
237	2267	15149
238	2278	15146
239	2284	15116
240	2291	15089
241	2297	15057
242	2309	15062
243	2315	15031
244	2324	15016
245	2331	14991
246	2338	14966
247	2344	14936
248	2350	14906
249	2359	14895
250	2367	14877
251	2376	14860
252	2386	14857
253	2394	14839
254	2402	14821
255	2410	14801
256	2418	14783
257	2425	14760
258	2433	14740
259	2440	14719
260	2448	14698
261	2457	14688
262	2464	14667
263	2472	14647
264	2479	14621
265	2487	14609
266	2494	14584
267	2506	14591
268	2513	14568
269	2522	14553
270	2527	14523
271	2536	14507
272	2541	14475
273	2547	14450
274	2554	14424
275	2559	14392
276	2567	14375
277	2573	14348
278	2578	14316
279	2586	14296
280	2591	14265
281	2597	14237
282	2603	14212
283	2608	14182
284	2615	14162
285	2621	14136
286	2627	14106
287	2634	14084
288	2639	14054
289	2645	14029
290	2651	14003
291	2657	13978
292	2664	13958
293	2673	13950
294	2684	13951
295	2691	13930
296	2699	13916
297	2705	13888
298	2711	13866
299	2717	13842
300	2723	13814
301	2731	13803
302	2738	13782
303	2753	13804
304	2763	13800
305	2772	13789
306	2780	13777
307	2787	13757
308	2796	13749
309	2804	13732
310	2812	13721
311	2819	13699
312	2825	13678
313	2832	13655
314	2838	13631
315	2845	13616
316	2851	13591
317	2859	13576
318	2865	13552
319	2870	13528
320	2877	13510
321	2883	13486
322	2889	13464
323	2896	13445
324	2902	13422
325	2910	13410
326	2916	13385
327	2922	13363
328	2928	13343
329	2934	13318
330	2941	13303
331	2947	13283
332	2953	13258
333	2960	13241
334	2966	13221
335	2979	13230
336	2992	13241
337	2999	13221
338	3008	13213
339	3014	13191
340	3020	13173
341	3027	13152
342	3033	13132
343	3039	13111
344	3045	13090
345	3052	13074
346	3059	13057
347	3064	13033
348	3073	13023
349	3081	13014
350	3091	13010
351	3098	12991
352	3105	12975
353	3112	12957
354	3117	12935
355	3124	12917
356	3130	12899
357	3137	12884
358	3145	12869
359	3153	12860
360	3162	12850
361	3173	12852
362	3179	12832
363	3187	12821
364	3195	12809
365	3204	12800
366	3210	12782
367	3220	12778
368	3227	12760
369	3243	12781
370	3255	12784
371	3264	12778
372	3271	12761
373	3280	12754
374	3293	12760
375	3301	12748
376	3309	12736
377	3319	12732
378	3325	12715
379	3335	12710
380	3342	12695
381	3350	12684
382	3363	12690
383	3374	12690
384	3388	12700
385	3400	12703
386	3408	12690
387	3417	12683
388	3424	12666
389	3434	12661
390	3440	12645
391	3447	12627
392	3454	12613
393	3462	12603
394	3470	12589
395	3485	12605
396	3494	12597
397	3502	12586
398	3511	12577
399	3517	12559
400	3524	12543
401	3530	12524
402	3536	12504
403	3542	12486
404	3549	12471
405	3554	12450
406	3561	12432
407	3566	12412
408	3571	12391
409	3577	12373
410	3583	12353
411	3588	12332
412	3594	12314
413	3599	12295
414	3605	12274
415	3610	12255
416	3616	12236
417	3621	12216
418	3627	12198
419	3632	12178
420	3638	12159
421	3643	12140
422	3648	12119
423	3654	12100
424	3660	12082
425	3666	12067
426	3672	12050
427	3678	12033
428	3688	12029
429	3694	12012
430	3700	11994
431	3711	11992
432	3717	11975
433	3730	11981
434	3740	11977
435	3746	11961
436	3755	11954
437	3762	11939
438	3771	11932
439	3780	11924
440	3791	11925
441	3798	11912
442	3806	11901
443	3813	11887
444	3823	11884
445	3830	11868
446	3838	11859
447	3845	11844
448	3852	11833
449	3858	11814
450	3864	11797
451	3869	11780
452	3875	11762
453	3880	11744
454	3892	11746
455	3904	11746
456	3912	11736
457	3919	11723
458	3925	11708
459	3932	11694
460	3940	11684
461	3945	11664
462	3953	11655
463	3961	11644
464	3979	11663
465	3988	11657
466	3997	11650
467	4007	11646
468	4017	11642
469	4026	11633
470	4036	11628
471	4045	11621
472	4054	11614
473	4065	11611
474	4075	11609
475	4087	11610
476	4096	11603
477	4106	11597
478	4113	11585
479	4119	11569
480	4124	11551
481	4131	11538
482	4140	11529
483	4220	11721
484	4250	11770
485	4259	11762
486	4265	11746
487	4271	11729
488	4278	11714
489	4284	11698
490	4290	11682
491	4295	11664
492	4301	11648
493	4309	11637
494	4316	11623
495	4322	11608
496	4332	11602
497	4340	11590
498	4348	11580
499	4354	11566
500	4362	11554
501	4368	11539
502	4375	11525
503	4381	11511
504	4388	11495
505	4396	11485
506	4403	11472
507	4411	11462
508	4417	11447
509	4425	11436
510	4431	11421
511	4438	11407
512	4447	11400
513	4453	11384
514	4467	11388
515	4475	11379
516	4481	11365
517	4490	11355
518	4497	11342
519	4504	11329
520	4510	11315
521	4516	11299
522	4524	11289
523	4530	11275
524	4538	11263
525	4545	11250
526	4554	11243
527	4561	11230
528	4568	11217
529	4575	11206
530	4583	11195
531	4593	11190
532	4601	11179
533	4609	11169
534	4619	11165
535	4629	11159
536	4644	11165
537	4657	11167
538	4666	11158
539	4673	11146
540	4681	11138
541	4692	11133
542	4713	11154
543	4721	11142
544	4729	11133
545	4744	11139
546	4754	11134
547	4774	11152
548	4788	11156
549	4804	11162
550	4817	11165
551	4831	11168
552	4849	11181
553	4866	11190
554	4884	11204
555	4904	11221
556	4924	11238
557	4936	11234
558	4947	11230
559	4969	11251
560	4981	11250
561	4991	11243
562	4999	11233
563	5007	11223
564	5017	11215
565	5025	11204
566	5036	11200
567	5046	11195
568	5055	11185
569	5065	11180
570	5074	11169
571	5083	11162
572	5094	11158
573	5103	11150
574	5114	11145
575	5122	11134
576	5132	11128
577	5141	11118
578	5151	11113
579	5160	11103
580	5171	11098
581	5179	11088
582	5187	11078
583	5195	11066
584	5209	11069
585	5217	11059
586	5225	11047
587	5233	11035
588	5239	11021
589	5245	11006
590	5251	10992
591	5257	10977
592	5263	10962
593	5272	10953
594	5279	10940
595	5285	10926
596	5292	10913
597	5298	10898
598	5307	10889
599	5313	10875
600	5321	10864
601	5328	10851
602	5335	10838
603	5343	10829
604	5350	10816
605	5359	10807
606	5365	10793
607	5375	10785
608	5381	10771
609	5388	10759
610	5394	10745
611	5400	10731
612	5408	10720
613	5415	10707
614	5423	10697
615	5430	10684
616	5438	10674
617	5450	10671
618	5458	10661
619	5465	10648
620	5472	10635
621	5478	10622
622	5486	10611
623	5493	10599
624	5499	10585
625	5508	10577
626	5518	10570
627	5530	10568
628	5541	10562
629	5547	10548
630	5553	10535
631	5559	10521
632	5565	10507
633	5572	10494
634	5578	10480
635	5585	10467
636	5591	10455
637	5599	10443
638	5606	10431
639	5616	10424
640	5623	10413
641	5634	10409
642	5641	10396
643	5650	10389
644	5658	10377
645	5666	10368
646	5674	10357
647	5681	10346
648	5693	10343
649	5701	10333
650	5708	10321
651	5717	10313
652	5724	10300
653	5732	10291
654	5737	10275
655	5745	10265
656	5752	10252
657	5757	10238
658	5767	10230
659	5773	10217
660	5781	10206
661	5787	10192
662	5794	10182
663	5801	10170
664	5809	10159
665	5816	10147
666	5823	10135
667	5831	10126
668	5837	10113
669	5848	10107
670	5856	10098
671	5866	10092
672	5877	10087
673	5886	10078
674	5898	10075
675	5909	10071
676	5918	10061
677	5925	10050
678	5945	10061
679	5955	10054
680	5966	10049
681	5976	10043
682	5985	10034
683	5994	10025
684	5999	10011
685	6005	9998
686	6012	9985
687	6018	9971
688	6026	9962
689	6031	9948
690	6039	9937
691	6045	9924
692	6051	9911
693	6059	9901
694	6065	9888
695	6073	9878
696	6079	9865
697	6086	9853
698	6092	9840
699	6098	9826
700	6106	9816
701	6111	9803
702	6119	9792
703	6125	9779
704	6131	9766
705	6139	9756
706	6150	9751
707	6158	9742
708	6165	9730
709	6173	9721
710	6190	9726
711	6196	9713
712	6208	9708
713	6216	9698
714	6225	9690
715	6237	9686
716	6245	9677
717	6255	9670
718	6261	9657
719	6269	9648
720	6276	9637
721	6285	9628
722	6293	9618
723	6303	9611
724	6310	9600
725	6318	9590
726	6324	9578
727	6332	9568
728	6340	9557
729	6346	9546
730	6353	9534
731	6358	9520
732	6364	9507
733	6370	9495
734	6376	9482
735	6382	9469
736	6387	9455
737	6393	9442
738	6398	9428
739	6404	9415
740	6413	9407
741	6418	9394
742	6430	9390
743	6437	9379
744	6443	9367
745	6449	9353
746	6456	9343
747	6462	9331
748	6470	9320
749	6476	9308
750	6483	9297
751	6490	9286
752	6497	9276
753	6504	9265
754	6511	9254
755	6518	9243
756	6524	9230
757	6531	9219
758	6537	9207
759	6546	9198
760	6552	9187
761	6556	9172
762	6564	9162
763	6571	9151
764	6578	9141
765	6585	9129
766	6592	9119
767	6599	9109
768	6606	9098
769	6614	9088
770	6621	9077
771	6629	9068
772	6635	9056
773	6644	9048
774	6650	9036
775	6658	9026
776	6674	9028
777	6682	9019
778	6690	9009
779	6697	8998
780	6703	8986
781	6710	8976
782	6717	8965
783	6726	8957
784	6734	8947
785	6745	8942
786	6751	8931
787	6759	8920
788	6767	8911
789	6774	8901
790	6780	8888
791	6787	8878
792	6793	8866
793	6798	8854
794	6806	8843
795	6813	8834
796	6820	8822
797	6828	8813
798	6835	8802
799	6840	8790
800	6845	8777
801	6853	8767
802	6859	8755
803	6865	8743
804	6870	8731
805	6876	8719
806	6884	8710
807	6893	8702
808	6901	8693
809	6917	8693
810	6926	8686
811	6935	8678
812	6941	8665
813	6946	8653
814	6953	8642
815	6959	8631
816	6966	8620
817	6972	8609
818	6978	8597
819	6986	8588
820	6993	8578
821	7001	8568
822	7007	8557
823	7013	8545
824	7019	8533
825	7024	8521
826	7030	8510
827	7036	8498
828	7044	8488
829	7050	8477
830	7056	8466
831	7063	8455
832	7070	8445
833	7078	8435
834	7087	8428
835	7094	8418
836	7102	8409
837	7108	8397
838	7115	8387
839	7124	8380
840	7132	8370
841	7137	8358
842	7143	8346
843	7150	8337
844	7166	8336
845	7174	8327
846	7182	8318
847	7192	8311
848	7199	8302
849	7206	8291
850	7213	8281
851	7220	8271
