iter	RMSE
0	7.08767639
1	6.763877534
2	6.474039482
3	6.187646568
4	5.909727849
5	5.64964746
6	5.399699193
7	5.151584544
8	4.928880212
9	4.711300456
10	4.507534485
11	4.3118936
12	4.125965178
13	3.952139732
14	3.784153252
15	3.625377314
16	3.479731462
17	3.330600198
18	3.197717937
19	3.064680765
20	2.943888118
21	2.819745649
22	2.712262324
23	2.606592232
24	2.503412536
25	2.411458256
26	2.316932459
27	2.224479201
28	2.13883272
29	2.059361833
30	1.984248585
31	1.907759491
32	1.839137
33	1.776390142
34	1.711565796
35	1.645765157
36	1.586288884
37	1.525731264
38	1.472234506
39	1.418167533
40	1.372510932
41	1.322663836
42	1.282840993
43	1.23825755
44	1.195679784
45	1.155607774
46	1.120590459
47	1.086180587
48	1.052310636
49	1.018963438
50	0.9867677948
51	0.9564547874
52	0.9291232473
53	0.9032439808
54	0.8767145289
55	0.8519676586
56	0.8301204341
57	0.8088617397
58	0.787207072
59	0.765964383
60	0.7472573905
61	0.7288309763
62	0.7112522773
63	0.6932299624
64	0.6767123674
65	0.6608659719
66	0.6459989799
67	0.6314488709
68	0.6156254595
69	0.6041296802
70	0.5909292158
71	0.5794868929
72	0.5669508569
73	0.5573982448
74	0.547618716
75	0.5370700937
76	0.5269491421
77	0.5162144896
78	0.5074761572
79	0.4991895128
80	0.4892945957
81	0.4815833541
82	0.4745948143
83	0.4674705041
84	0.4594963607
85	0.4526142487
86	0.4467524859
87	0.4401635295
88	0.4342799516
89	0.4285488917
90	0.4228692752
91	0.4176743489
92	0.4129315433
93	0.4069300757
94	0.4026026904
95	0.3991294165
96	0.3953298101
97	0.390682544
98	0.3863623526
99	0.3823299473
100	0.3781018164
101	0.3737804004
102	0.3699510919
103	0.3657971257
104	0.3625815106
105	0.3586063977
106	0.3541433455
107	0.3506421872
108	0.3469432631
109	0.3440047775
110	0.3409286001
111	0.3381327423
112	0.3346703933
113	0.3315796609
114	0.3290487001
115	0.32585445
116	0.3225409094
117	0.3197167258
118	0.3172359212
119	0.3147095663
120	0.3118861451
121	0.3091583351
122	0.3066040498
123	0.3039818859
124	0.3017174362
125	0.299493199
126	0.2964542681
127	0.2941109738
128	0.2918559078
129	0.2894108662
130	0.2870119225
131	0.2852563869
132	0.2829672031
133	0.2807143764
134	0.2788811179
135	0.2767861477
136	0.2752264973
137	0.2732730594
138	0.2713713974
139	0.269641448
140	0.2683625246
141	0.2669864754
142	0.2656419531
143	0.2636775219
144	0.2615324152
145	0.2600561042
146	0.258256375
147	0.2569508161
148	0.2552766833
149	0.2538195839
150	0.2524476734
151	0.2511950527
152	0.2497479498
153	0.248323428
154	0.2470685843
155	0.2457139135
156	0.2440258559
157	0.2427679873
158	0.2414081916
159	0.2397362952
160	0.2382280883
161	0.2367659771
162	0.2354979535
163	0.2341404434
164	0.2325729361
165	0.2307906935
166	0.2295585695
167	0.2285410382
168	0.2270832161
169	0.225759826
170	0.2246750611
171	0.2232393208
172	0.2218758882
173	0.2206894145
174	0.2196595812
175	0.218549604
176	0.2173018933
177	0.2161554816
178	0.2150269512
179	0.2136513462
180	0.2123847609
181	0.2112560142
182	0.2100826895
183	0.2090479361
184	0.20797524
185	0.2068270274
186	0.2059713016
187	0.2050717553
188	0.2042071976
189	0.2033217734
190	0.2025802315
191	0.2015649359
192	0.2004598878
193	0.1994598626
194	0.1984804316
195	0.1977629661
196	0.1968024365
197	0.1959257454
198	0.1948745353
199	0.1937320757
200	0.1924884596
201	0.1917493286
202	0.1909461471
203	0.1900348583
204	0.1893748938
205	0.188553549
206	0.1878393198
207	0.1867183154
208	0.1859631943
209	0.1850691251
210	0.1841668581
211	0.1832770432
212	0.1825442804
213	0.1818808056
214	0.1810412504
215	0.1805270529
216	0.1796903593
217	0.179059275
218	0.178397346
219	0.1776927329
220	0.17672322
221	0.1759427436
222	0.1751833972
223	0.1744046369
224	0.1737800725
225	0.1728947825
226	0.1723099411
227	0.1715564464
228	0.1710734525
229	0.1703008681
230	0.169460891
231	0.1688739976
232	0.1683886014
233	0.1676367523
234	0.167030948
235	0.1662769713
236	0.1656165012
237	0.1649798737
238	0.1643724205
239	0.1638126026
240	0.1632453871
241	0.1627204883
242	0.1620217885
243	0.1612835183
244	0.1606999816
245	0.1599578555
246	0.1594943246
247	0.1589721298
248	0.1585245342
249	0.1579075384
250	0.1572259203
251	0.1566563836
252	0.1562038617
253	0.1555142471
254	0.1549318466
255	0.1543513474
256	0.1539065867
257	0.1534326277
258	0.1530571894
259	0.1526384071
260	0.1519240721
261	0.1514710461
262	0.1508194122
263	0.1502770612
264	0.1498195948
265	0.1493528627
266	0.1488757309
267	0.1483547905
268	0.1478633455
269	0.1474964275
270	0.1471545752
271	0.1466907564
272	0.1463548382
273	0.1460135929
274	0.1455076127
275	0.1450728751
276	0.1446608642
277	0.1442351364
278	0.1437966977
279	0.1432768153
280	0.1429005047
281	0.1424337457
282	0.1420442271
283	0.1417189616
284	0.1412228614
285	0.1406116063
286	0.1403472026
287	0.139887223
288	0.139503319
289	0.1390831125
290	0.1386974423
291	0.1383238809
292	0.1379446575
293	0.1376141275
294	0.1371938752
295	0.1368195355
296	0.13648436
297	0.1360709658
298	0.1356923836
299	0.135194018
300	0.1347842625
301	0.1344239833
302	0.1340410587
303	0.1336135635
304	0.1333357255
305	0.1328184203
306	0.1324618826
307	0.1321436046
308	0.1318568928
309	0.1315075233
310	0.1311554085
311	0.1308925665
312	0.1305446505
313	0.1301438375
314	0.1298354723
315	0.1295958128
316	0.1293024594
317	0.1289213184
318	0.1286143732
319	0.1282798701
320	0.1278320083
321	0.127353606
322	0.1269785748
323	0.1265665528
324	0.1261381738
325	0.125825735
326	0.1255213016
327	0.1251204816
328	0.1248057016
329	0.1245340617
330	0.1242588255
331	0.1239321836
332	0.1235225091
333	0.1232725037
334	0.1228970629
335	0.1226134205
336	0.1222810924
337	0.1220611617
338	0.1217778095
339	0.1213523576
340	0.1209538255
341	0.1206952951
342	0.12044609
343	0.1201242115
344	0.1198226084
345	0.1195273446
