iter	R2	RMSE
314	0.7995849225	1.682443167
315	0.7998664449	1.681261091
316	0.8001196283	1.680197296
317	0.8003087419	1.679402262
318	0.8006532767	1.677952869
319	0.800918685	1.676835492
320	0.8012248952	1.675545411
321	0.8014404898	1.674636503
322	0.8016638175	1.673694474
323	0.8020269831	1.672161453
324	0.8024413259	1.670410682
325	0.8027348727	1.669169213
326	0.8028927161	1.668501279
327	0.8030151472	1.667983013
328	0.803210012	1.667157793
329	0.8035055954	1.665905266
330	0.803829284	1.664532564
331	0.8040321562	1.663671644
332	0.8041562791	1.663144688
333	0.8043741245	1.662219437
334	0.8046948286	1.660856378
335	0.8048809419	1.660064845
336	0.8052482689	1.658501507
337	0.8056095355	1.656962524
338	0.8057835245	1.656220826
339	0.8060624168	1.655031244
340	0.8062111416	1.654396525
341	0.8064664447	1.653306391
342	0.8066468358	1.652535695
343	0.8069604775	1.651194846
344	0.8071657353	1.65031676
345	0.8073752727	1.649419884
346	0.8076576311	1.648210542
347	0.8078493766	1.647388789
348	0.8080537689	1.646512385
349	0.8081619263	1.646048433
350	0.8083924439	1.645059169
351	0.8085472071	1.644394669
352	0.8087927316	1.643339922
353	0.8089853568	1.64251195
354	0.8091644325	1.641741845
355	0.8093345266	1.641010029
356	0.8095925422	1.639899315
357	0.8097990641	1.639009731
358	0.8099732202	1.638259185
359	0.8103859045	1.636479301
360	0.8104994258	1.635989351
361	0.8106573364	1.635307575
362	0.8108755743	1.634364869
363	0.8110660489	1.633541645
364	0.811258126	1.632711075
365	0.811448121	1.631889092
366	0.8116319815	1.631093255
367	0.8119249539	1.629824326
368	0.812133754	1.628919363
369	0.8122842627	1.628266729
370	0.8126926726	1.626494469
371	0.8128823771	1.625670605
372	0.8131198327	1.624638775
373	0.8133060672	1.623829061
374	0.8137842387	1.621748204
375	0.8139199706	1.621157053
376	0.8141620859	1.620102038
377	0.814389459	1.619110635
378	0.8145392186	1.618457315
379	0.8146884953	1.617805839
380	0.8149582908	1.616627726
381	0.8152471039	1.615365617
382	0.8154161398	1.614626475
383	0.8155488543	1.614045918
384	0.8158598791	1.612684527
385	0.816056829	1.611821861
386	0.8162345339	1.611043094
387	0.8164658036	1.610029021
388	0.8167736016	1.608678397
389	0.8169490084	1.6079082
390	0.8170998631	1.607245515
391	0.8172794894	1.606456083
392	0.8174162259	1.605854885
393	0.8176966757	1.60462111
394	0.8179220118	1.603629107
395	0.8181573764	1.602592299
396	0.8184380582	1.601354987
397	0.8186484934	1.600426711
398	0.818796261	1.599774554
399	0.8190188958	1.598791475
400	0.819208033	1.597955836
401	0.8193121608	1.597495595
402	0.8194131275	1.5970492
403	0.8195611946	1.596394338
404	0.8197907247	1.595378655
405	0.8199711144	1.594579968
406	0.8202250289	1.593455065
407	0.8203469061	1.592914838
408	0.8205964758	1.591808034
409	0.8208700021	1.590594102
410	0.8210072406	1.589984677
411	0.8211587641	1.589311546
412	0.8213158815	1.588613263
413	0.8216078993	1.587314623
414	0.8218305759	1.586323636
415	0.8220390425	1.585395328
416	0.822127212	1.585002543
417	0.8223824088	1.583865121
418	0.8225871684	1.582951909
419	0.8227471045	1.58223824
420	0.822923015	1.581452917
421	0.8232073304	1.580182814
422	0.8234142564	1.579257785
423	0.8235774551	1.57852785
424	0.823700293	1.577978212
425	0.8238660439	1.577236257
426	0.8239826057	1.57671428
427	0.8241198804	1.576099326
428	0.8243418917	1.575104266
429	0.8245512432	1.574165373
430	0.8246907616	1.573539353
431	0.8247996488	1.573050603
432	0.8251052821	1.571677927
433	0.8253648775	1.570511076
434	0.8254328037	1.570205613
435	0.8255654526	1.569608922
436	0.8256975555	1.56901446
437	0.8259039611	1.568085187
438	0.8263163474	1.566226901
439	0.826475926	1.56550722
440	0.8267000053	1.564496089
441	0.8269480556	1.56337603
442	0.8271407064	1.56250557
443	0.8273073583	1.56175219
444	0.8275615731	1.560602267
445	0.8276130767	1.56036919
446	0.8279020531	1.559060799
447	0.8280317587	1.558473177
448	0.8282891171	1.557306577
449	0.8284272039	1.556680273
450	0.828534259	1.556194541
451	0.8286851702	1.555509568
452	0.8288376151	1.554817327
453	0.8290098349	1.554034919
454	0.8291784081	1.553268696
455	0.8294159963	1.552188133
456	0.8295730468	1.551473447
457	0.8297998192	1.550440898
458	0.8300659548	1.549228241
459	0.8302130939	1.548557388
460	0.8304297152	1.547569215
461	0.8305757571	1.546902652
462	0.8308095048	1.545835185
463	0.8309187313	1.545336121
464	0.8312138724	1.543986796
465	0.8314536002	1.54288994
466	0.8315945638	1.542244608
467	0.8317669104	1.541455237
468	0.832016917	1.540309454
469	0.8321660246	1.539625686
470	0.8324418714	1.538359925
471	0.8326266136	1.537511627
472	0.8327344608	1.537016199
473	0.8329340133	1.536099073
474	0.8332044262	1.534855406
475	0.8333705774	1.534090752
476	0.8334795336	1.533589112
477	0.833828898	1.531979512
478	0.8339979657	1.531199971
479	0.8342492518	1.530040603
480	0.8344281612	1.529214626
481	0.8346697049	1.528098775
482	0.8347951027	1.527519158
483	0.8349656102	1.52673068
484	0.8351183911	1.52602383
485	0.8352456305	1.525434899
486	0.8353508867	1.524947546
487	0.8354247379	1.52460551
488	0.8355619739	1.523969708
489	0.8356937729	1.523358846
490	0.8357827141	1.522946483
491	0.8359956254	1.521958896
492	0.8361760501	1.521121496
493	0.836300855	1.520541972
494	0.8364788536	1.519715065
495	0.8365709756	1.519286929
496	0.836727432	1.518559521
497	0.8368260623	1.518100783
498	0.8368996688	1.517758342
499	0.8370410431	1.517100408
500	0.8371918551	1.516398238
501	0.8374341851	1.515269285
502	0.8376909938	1.51407196
503	0.8377350735	1.513866351
504	0.8378965812	1.513112763
505	0.8380683277	1.512310988
506	0.8381080262	1.512125601
507	0.8384150131	1.51069124
508	0.8384719167	1.510425215
509	0.8385864443	1.509889655
510	0.8386569047	1.509560069
511	0.8388253217	1.508771991
512	0.8389487658	1.508194094
513	0.8390698773	1.507626902
514	0.8391824729	1.5070994
515	0.8393907013	1.506123379
516	0.839473831	1.505733552
517	0.8396320189	1.504991469
518	0.8397482639	1.504445913
519	0.8399753217	1.503379724
520	0.8401405193	1.502603535
521	0.8402662634	1.502012451
522	0.8404600634	1.501101002
523	0.8406177762	1.500358863
524	0.8407276966	1.499841402
525	0.8409187437	1.498941602
526	0.8410518906	1.498314183
527	0.8412180147	1.497530999
528	0.8413915859	1.496712269
529	0.8416055841	1.495702228
530	0.8416953356	1.495278411
