Diện tích (m2),Hướng,Chiều ngang (m),Chiều dài (m),Số phòng ngủ,Số phòng vệ sinh,Số tầng,Tình trạng nội thất,Giá_per_m2,Tổng_phòng,Aspect_ratio,Diện_tích_per_phòng,Thành phố_encoded,Phường/Xã_encoded,Loại hình_Nhà biệt thự,"Loại hình_Nhà mặt phố, mặt tiền","Loại hình_Nhà ngõ, hẻm",Loại hình_Nhà phố liền kề,Giấy tờ pháp lý_encoded,Giá
180.0,Không xác định,9.6,20.0,1.0,1.0,1.0,Bàn giao thô,0.0577777777777777,2,0.48,90.0,6.460090305209852,5.67736010320916,False,False,True,False,4,10.4
60.0,Không xác định,5.0,12.0,2.0,2.0,1.6666666666666667,Không xác định,0.0475,4,0.4166666666666667,15.0,4.071625333867521,4.632225387780943,False,True,False,False,4,2.85
70.0,Không xác định,4.0,18.0,2.0,1.0,1.0,Hoàn thiện cơ bản,0.1342857142857142,3,0.2222222222222222,23.33333333333333,6.460090305209852,7.093097076534576,False,True,False,False,4,9.4
117.0,Không xác định,5.0,23.0,4.0,4.0,4.0,Nội thất đầy đủ,0.1452991452991453,8,0.217391304347826,14.625,6.460090305209852,7.176403418803418,False,True,False,False,4,17.0
35.0,Không xác định,3.2,12.0,3.0,3.0,4.0,Không xác định,0.32,6,0.2666666666666666,5.833333333333333,6.460090305209852,7.475523171889838,False,False,True,False,4,11.2
39.0,Không xác định,3.6,11.0,2.0,2.0,2.0,Không xác định,0.1217948717948717,4,0.3272727272727272,9.75,6.460090305209852,6.820469663395588,False,False,True,False,4,4.75
65.1,Đông Bắc,4.58,14.21,3.0,3.0,3.0,Không xác định,0.0675729646697388,6,0.3223082336382828,10.85,7.04928547008547,5.789942841880341,False,False,True,False,4,4.399
110.0,Đông Nam,5.5,20.0,2.0,4.0,3.0,Hoàn thiện cơ bản,0.0345454545454545,6,0.275,18.33333333333333,4.772804679837467,6.398008547008547,False,True,False,False,4,3.8
102.0,Không xác định,5.0,20.0,4.0,5.0,1.4166666666666667,Nội thất cao cấp,0.084313725490196,9,0.25,11.333333333333334,6.460090305209852,5.887433153951672,False,True,False,False,4,8.6
80.0,Không xác định,4.0,20.0,4.0,4.0,1.1111111111111112,Không xác định,0.096125,8,0.2,10.0,6.460090305209852,7.177063851181498,False,True,False,False,4,7.69
44.5,Không xác định,3.7003118371709824,12.026013470805694,2.0,2.0,1.2361111111111112,Không xác định,0.0476404494382022,4,0.3076923076923076,11.125,4.772804679837467,6.398008547008547,False,True,False,False,4,2.12
70.0,Không xác định,5.0,14.0,3.0,2.0,2.0,Không xác định,0.0657142857142857,5,0.3571428571428571,14.0,4.071625333867521,4.999071755118266,False,False,True,False,4,4.6
100.0,Tây,5.0,20.0,3.0,2.0,2.0,Nội thất đầy đủ,0.0465,5,0.25,20.0,7.04928547008547,5.718828557063851,False,False,True,False,4,4.65
84.0,Không xác định,5.0,19.0,5.0,5.0,1.0,Hoàn thiện cơ bản,0.1666666666666666,10,0.2631578947368421,8.4,6.460090305209852,7.57881339031339,False,False,True,False,4,14.0
65.0,Không xác định,4.6,14.0,2.0,2.0,2.0,Không xác định,0.0223076923076923,4,0.3285714285714285,16.25,6.460090305209852,4.464810979618672,False,False,True,False,3,1.45
64.0,Đông,4.0,16.0,4.0,5.0,4.0,Nội thất đầy đủ,0.1515625,9,0.25,7.111111111111111,6.460090305209852,7.093097076534576,False,False,True,False,4,9.7
12.0,Không xác định,1.9215378456610457,6.244997998398398,2.0,2.0,1.0,Không xác định,0.0499999999999999,4,0.3076923076923077,3.0,6.460090305209852,5.887433153951672,False,False,True,False,3,0.6
50.0,Không xác định,5.0,10.0,4.0,5.0,4.0,Nội thất cao cấp,0.1358,9,0.5,5.555555555555555,6.460090305209852,5.312099820618339,False,False,True,False,4,6.79
58.0,Không xác định,4.0,14.5,4.0,4.0,1.0,Không xác định,0.1586206896551724,8,0.2758620689655172,7.25,6.460090305209852,6.776358363858364,False,True,False,False,4,9.2
64.0,Không xác định,4.0,16.0,5.0,6.0,1.0,Không xác định,0.0984375,11,0.25,5.818181818181818,6.460090305209852,5.67736010320916,False,False,False,True,4,6.3
114.0,Đông Nam,4.0,28.0,6.0,5.0,4.0,Nội thất đầy đủ,0.0833333333333333,11,0.1428571428571428,10.363636363636363,6.398008547008547,6.398008547008547,False,True,False,False,4,9.5
68.0,Tây,5.5,12.0,3.0,2.0,2.0,Nội thất cao cấp,0.0425,5,0.4583333333333333,13.6,3.293273504273504,4.339454273504273,False,False,True,False,4,2.89
