iter	Passed	Remaining
0	9	16520
1	23	21507
2	41	25545
3	59	27258
4	71	26213
5	78	23890
6	88	22944
7	94	21576
8	103	21016
9	114	20819
10	125	20734
11	136	20677
12	154	21539
13	168	21851
14	180	21790
15	189	21473
16	197	21046
17	212	21398
18	243	23179
19	261	23626
20	274	23616
21	291	23920
22	314	24708
23	358	26950
24	375	27097
25	396	27512
26	405	27046
27	416	26746
28	423	26265
29	433	25965
30	442	25655
31	451	25365
32	457	24897
33	464	24488
34	472	24190
35	479	23866
36	489	23707
37	500	23595
38	507	23262
39	513	22931
40	518	22616
41	528	22458
42	537	22305
43	552	22397
44	561	22228
45	578	22404
46	586	22243
47	599	22245
48	610	22181
49	621	22093
50	635	22150
51	649	22173
52	656	21995
53	663	21809
54	673	21713
55	682	21608
56	692	21501
57	701	21411
58	708	21228
59	715	21097
60	721	20903
61	728	20741
62	735	20591
63	749	20647
64	755	20486
65	762	20354
66	768	20202
67	773	20023
68	779	19867
69	786	19751
70	797	19744
71	803	19598
72	818	19679
73	826	19578
74	832	19455
75	843	19447
76	849	19326
77	857	19238
78	863	19108
79	868	18983
80	877	18917
81	889	18944
82	904	19023
83	915	19003
84	926	19003
85	940	19042
86	952	19068
87	962	19040
88	974	19048
89	984	19009
90	994	18984
91	1002	18914
92	1010	18854
93	1018	18781
94	1025	18715
95	1034	18655
96	1044	18633
97	1052	18583
98	1065	18603
99	1073	18542
100	1080	18471
101	1091	18471
102	1100	18433
103	1110	18406
104	1114	18280
105	1118	18175
106	1124	18078
107	1129	17988
108	1134	17896
109	1141	17825
110	1147	17744
111	1152	17661
112	1159	17591
113	1164	17504
114	1169	17419
115	1175	17344
116	1180	17264
117	1188	17219
118	1194	17152
119	1199	17072
120	1210	17070
121	1217	17026
122	1223	16955
123	1230	16913
124	1236	16844
125	1244	16809
126	1251	16761
127	1258	16716
128	1265	16670
129	1271	16610
130	1279	16571
131	1284	16510
132	1291	16455
133	1305	16505
134	1313	16466
135	1321	16436
136	1328	16398
137	1337	16383
138	1345	16344
139	1351	16299
140	1357	16239
141	1363	16192
142	1377	16232
143	1389	16253
144	1399	16238
145	1407	16210
146	1415	16184
147	1422	16151
148	1433	16148
149	1439	16103
150	1446	16066
151	1452	16020
152	1458	15963
153	1464	15922
154	1471	15880
155	1478	15844
156	1483	15792
157	1489	15743
158	1495	15697
159	1502	15659
160	1509	15629
161	1514	15579
162	1521	15537
163	1527	15498
164	1534	15466
165	1539	15418
166	1554	15460
167	1561	15433
168	1568	15402
169	1579	15402
170	1585	15363
171	1591	15321
172	1596	15277
173	1602	15233
174	1607	15186
175	1615	15163
176	1625	15157
177	1634	15148
178	1640	15113
179	1649	15104
180	1659	15099
181	1669	15096
182	1678	15084
183	1684	15049
184	1690	15009
185	1695	14967
186	1700	14925
187	1706	14887
188	1711	14846
189	1720	14830
190	1725	14791
191	1731	14750
192	1736	14711
193	1741	14671
194	1747	14633
195	1753	14599
196	1758	14558
197	1764	14521
198	1770	14496
199	1777	14468
200	1782	14430
201	1794	14443
202	1801	14422
203	1807	14389
204	1814	14365
205	1821	14339
206	1830	14331
207	1844	14367
208	1859	14405
209	1868	14397
210	1878	14393
211	1884	14364
212	1891	14339
213	1898	14319
214	1906	14302
215	1913	14282
216	1921	14265
217	1926	14230
218	1932	14198
219	1938	14166
220	1943	14133
221	1950	14111
222	1956	14079
223	1965	14074
224	1970	14041
225	1977	14015
226	1982	13984
227	1988	13955
228	1994	13924
229	1999	13892
230	2005	13862
231	2011	13836
232	2017	13807
233	2022	13780
234	2029	13755
235	2041	13773
236	2048	13751
237	2057	13746
238	2065	13729
239	2071	13708
240	2078	13686
241	2086	13675
242	2092	13648
243	2098	13625
244	2105	13605
245	2111	13582
246	2117	13553
247	2123	13527
248	2129	13506
249	2135	13477
250	2141	13452
251	2149	13441
252	2156	13425
253	2163	13407
254	2169	13382
255	2175	13359
256	2182	13343
257	2190	13329
258	2196	13304
259	2204	13292
260	2211	13277
261	2218	13259
262	2225	13242
263	2230	13214
264	2237	13197
265	2243	13175
266	2250	13160
267	2259	13151
268	2265	13132
269	2272	13114
270	2286	13136
271	2293	13120
272	2300	13102
273	2307	13088
274	2314	13068
275	2321	13054
276	2332	13058
277	2346	13080
278	2359	13098
279	2365	13078
280	2372	13058
281	2379	13044
282	2385	13021
283	2392	13004
284	2398	12987
285	2408	12987
286	2418	12987
287	2433	13011
288	2448	13039
289	2464	13070
290	2478	13090
291	2488	13088
292	2496	13077
293	2505	13073
294	2515	13070
295	2535	13122
296	2546	13127
297	2557	13132
298	2570	13143
299	2580	13143
300	2594	13164
301	2603	13154
302	2610	13138
303	2618	13126
304	2628	13125
305	2640	13131
306	2655	13154
307	2671	13184
308	2685	13199
309	2694	13196
310	2710	13222
311	2727	13254
312	2738	13252
313	2752	13271
314	2788	13393
315	2808	13439
316	2824	13464
317	2839	13481
318	2855	13509
319	2869	13522
320	2879	13518
321	2888	13511
322	2900	13514
323	2907	13495
324	2914	13480
325	2922	13464
326	2931	13455
327	2940	13447
328	2949	13437
329	2956	13422
330	2964	13406
331	2972	13392
332	2979	13378
333	2990	13378
334	2999	13366
335	3008	13359
336	3021	13366
337	3028	13350
338	3037	13343
339	3047	13336
340	3053	13314
341	3059	13292
342	3068	13286
343	3075	13267
344	3080	13243
345	3087	13226
346	3093	13203
347	3099	13181
348	3105	13161
349	3112	13143
350	3118	13121
351	3123	13097
352	3129	13076
353	3136	13060
354	3142	13039
355	3148	13016
356	3154	12997
357	3161	12982
358	3168	12965
359	3176	12953
360	3184	12942
361	3192	12930
362	3200	12915
363	3208	12902
364	3215	12886
365	3221	12868
366	3227	12850
367	3233	12830
368	3244	12827
369	3260	12847
370	3269	12840
371	3278	12831
372	3284	12810
373	3290	12790
374	3297	12778
375	3307	12772
376	3315	12760
377	3321	12741
378	3327	12721
379	3333	12702
380	3338	12680
381	3344	12659
382	3351	12644
383	3357	12627
384	3363	12607
385	3369	12586
386	3374	12565
387	3383	12558
388	3389	12537
389	3394	12517
390	3400	12498
391	3406	12479
392	3412	12459
393	3417	12439
394	3423	12420
395	3429	12400
396	3434	12380
397	3440	12361
398	3446	12343
399	3451	12323
400	3457	12303
401	3463	12286
402	3469	12266
403	3480	12267
404	3487	12252
405	3493	12235
406	3498	12215
407	3505	12200
408	3512	12186
409	3519	12170
410	3525	12156
411	3531	12138
412	3538	12123
413	3544	12107
414	3550	12089
415	3561	12088
416	3568	12073
417	3574	12057
418	3581	12044
419	3589	12032
420	3596	12019
421	3602	12001
422	3608	11987
423	3614	11967
424	3620	11953
425	3627	11938
426	3633	11921
427	3638	11902
428	3645	11886
429	3651	11870
430	3656	11851
431	3661	11833
432	3667	11815
433	3672	11796
434	3678	11778
435	3683	11760
436	3689	11742
437	3694	11723
438	3699	11705
439	3704	11686
440	3710	11670
441	3717	11655
442	3731	11664
443	3736	11648
444	3742	11632
445	3751	11623
446	3763	11628
