iter	RMSE
0	7.101711666
1	6.777979394
2	6.487817156
3	6.188027491
4	5.908057163
5	5.662086057
6	5.405012484
7	5.179357614
8	4.964388308
9	4.756336809
10	4.555266261
11	4.351556707
12	4.155382799
13	3.972544347
14	3.79480194
15	3.672069033
16	3.515268342
17	3.36103535
18	3.21621776
19	3.093868897
20	2.970548171
21	2.859379248
22	2.742649104
23	2.634613557
24	2.531939923
25	2.433048201
26	2.362818565
27	2.267878114
28	2.18707932
29	2.106059099
30	2.022658604
31	1.939770389
32	1.865463607
33	1.792638733
34	1.729681511
35	1.668025916
36	1.612428834
37	1.551345353
38	1.499105851
39	1.44217065
40	1.389046542
41	1.337611462
42	1.295348292
43	1.256360142
44	1.218696666
45	1.17589604
46	1.139212862
47	1.103910336
48	1.068336745
49	1.040703865
50	1.008764331
51	0.9794842429
52	0.9507369135
53	0.9215621999
54	0.8954961351
55	0.87141685
56	0.8495512665
57	0.8242317009
58	0.804115861
59	0.7821964327
60	0.7623467568
61	0.7446157247
62	0.7267000778
63	0.7064689485
64	0.6883321174
65	0.6725010754
66	0.6565912977
67	0.6419229311
68	0.6305898286
69	0.6178749098
70	0.6056767158
71	0.5938825857
72	0.5826838262
73	0.5714414014
74	0.5602645839
75	0.5495945772
76	0.5394508058
77	0.5295744404
78	0.5198278384
79	0.5105326207
80	0.5025931682
81	0.4945895509
82	0.4868990954
83	0.4792826691
84	0.4706049355
85	0.4635811743
86	0.4559479403
87	0.4493725121
88	0.4425119504
89	0.4359919137
90	0.4315813556
91	0.4259686497
92	0.4203277616
93	0.4144622106
94	0.4098779135
95	0.4063221463
96	0.4017647304
97	0.396207054
98	0.3912207284
99	0.3865336549
100	0.3823615276
101	0.3780850286
102	0.3737429474
103	0.3699390843
104	0.3686643407
105	0.3645393251
106	0.3609340026
107	0.3574606823
108	0.3542667811
109	0.350232501
110	0.3473328957
111	0.3436744263
112	0.3407413633
113	0.3366872612
114	0.3335506333
115	0.3300256767
116	0.3270943096
117	0.3242840953
118	0.3213188102
119	0.3187467428
120	0.3161240922
121	0.3133203191
122	0.3106837164
123	0.3081589115
124	0.3053527075
125	0.3032445948
126	0.3019311461
127	0.2998219377
128	0.2972640192
129	0.2946227894
130	0.2924503083
131	0.2900919728
132	0.288097532
